time_s,keyence_mm,magnetic_raw_mm,magnetic_raw_filtered,error_raw,error_filtered
0.0,0.0,0.0,0.0,0.0,0.0
0.004,-1.0000000000065512e-05,0.0004593218797843,4.550188494892581e-05,0.0004693218797843655,5.550188494899132e-05
0.009,-1.0000000000065512e-05,0.0004593218797843,0.0001274905322278,0.0004693218797843655,0.0001374905322278655
0.013,0.0,0.0004593218797843,0.0001932350676549,0.0004593218797843,0.0001932350676549
0.017,-1.0000000000065512e-05,0.0004593218797843,0.0002459538779046,0.0004693218797843655,0.00025595387790466553
0.021,-1.999999999990898e-05,0.0009186437595696,0.0003337295873789,0.0009386437595695089,0.000353729587378809
0.026,-1.999999999990898e-05,0.0013779656393548,0.0004951183853594,0.001397965639354709,0.000515118385359309
0.03,-2.999999999997449e-05,-0.0004593218797852,0.0004880261541816,-0.0004293218797852255,0.0005180261541815745
0.035,-1.999999999990898e-05,0.0,0.0003458334260702,1.999999999990898e-05,0.00036583342607010897
0.039,-2.999999999997449e-05,0.0013779656393548,0.0004138203647091,0.0014079656393547746,0.0004438203647090745
0.044,-2.999999999997449e-05,0.0004593218797843,0.0005138391839443,0.0004893218797842745,0.0005438391839442745
0.048,-2.999999999997449e-05,0.0009186437595696,0.0005485397541257,0.0009486437595695744,0.0005785397541256745
0.053,-4.000000000004e-05,0.0,0.0005308633418653,4.000000000004e-05,0.00057086334186534
0.057,-5.000000000010552e-05,0.0009186437595696,0.0005166890927387,0.0009686437595697055,0.0005666890927388056
0.062,-5.000000000010552e-05,0.0013779656393548,0.0006418287907761,0.0014279656393549056,0.0006918287907762055
0.066,-5.999999999994898e-05,0.0004593218797843,0.0006966731316034,0.000519321879784249,0.000756673131603349
0.071,-7.00000000000145e-05,0.0013779656393548,0.0007406513630802,0.0014479656393548146,0.0008106513630802145
0.075,-7.00000000000145e-05,0.0009186437595696,0.0008214182327961,0.0009886437595696144,0.0008914182327961145
0.079,-8.000000000008001e-05,0.0013779656393548,0.0008861830569956,0.00145796563935488,0.00096618305699568
0.084,-8.000000000008001e-05,0.0004593218797843,0.0008926143776833,0.0005393218797843801,0.00097261437768338
0.089,-8.999999999992347e-05,0.0018372875191401,0.0009432733691931,0.0019272875191400235,0.0010332733691930235
0.093,-8.000000000008001e-05,0.0013779656393548,0.0010748992492558,0.00145796563935488,0.00115489924925588
0.097,-8.999999999992347e-05,0.0004593218797843,0.0010439409186068,0.0005493218797842235,0.0011339409186067234
0.102,-8.000000000008001e-05,0.0,0.0008826105943249,8.000000000008001e-05,0.00096261059432498
0.106,-8.999999999992347e-05,0.0004593218797843,0.0007532440591736,0.0005493218797842235,0.0008432440591735234
0.111,-8.999999999992347e-05,0.0013779656393548,0.0007860140989616,0.0014679656393547236,0.0008760140989615235
0.115,-8.999999999992347e-05,0.0009186437595696,0.0008577934151561,0.0010086437595695234,0.0009477934151560234
0.119,-8.000000000008001e-05,0.0,0.0007788457022085,8.000000000008001e-05,0.00085884570220858
0.123,-8.000000000008001e-05,0.0004593218797843,0.0006700377269283,0.0005393218797843801,0.00075003772692838
0.128,-7.00000000000145e-05,0.0,0.0005827874792052,7.00000000000145e-05,0.0006527874792052145
0.132,-7.00000000000145e-05,0.0009186437595696,0.0005583256900015,0.0009886437595696144,0.0006283256900015145
0.136,-8.000000000008001e-05,0.0,0.0005387104259339,8.000000000008001e-05,0.00061871042593398
0.141,-7.00000000000145e-05,0.0004593218797843,0.000477479577693,0.0005293218797843145,0.0005474795776930145
