time_s,magnetic_raw_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
0.409,-18334.0,11474,10776.69584943261,0.17286999999999986
0.413,-18343.0,11622,10929.511529522668,0.17599999999999993
0.418,-18348.0,11772,11081.571222823935,0.17913
0.422,-18356.0,11922,11233.222836598627,0.18225000000000002
0.426,-18363.0,12075,11384.844411688742,0.18537000000000003
0.431,-18370.0,12227,11536.640025904555,0.18864999999999998
0.435,-18377.0,12379,11688.47613433084,0.19177
0.44,-18384.0,12532,11840.443777174862,0.19489
0.444,-18389.0,12689,11993.012209889814,0.1981599999999999
0.449,-18395.0,12848,12146.656779233888,0.20126999999999984
0.454,-18403.0,13010,12301.659590067036,0.20465999999999984
0.458,-18407.0,13176,12458.444981196712,0.20777999999999985
0.463,-18415.0,13341,12616.956966018715,0.21103000000000005
0.467,-18421.0,13510,12777.150650350683,0.21425000000000005
0.472,-18429.0,13680,12939.188161086146,0.21763999999999983
0.477,-18433.0,13860,13103.7938825737,0.22085
0.482,-18441.0,14052,13272.638374484715,0.22433999999999998
0.487,-18447.0,14243,13445.971519638237,0.22798999999999991
0.492,-18455.0,14452,13624.588071546706,0.23161999999999994
0.497,-18461.0,14629,13806.054363600528,0.23526000000000002
0.502,-18466.0,14804,13986.437639133355,0.23848000000000003
0.506,-18473.0,14982,14166.05153543869,0.24154999999999993
0.511,-18478.0,15162,14345.543802706587,0.2446299999999999
0.515,-18485.0,15349,14525.830107453246,0.24771999999999994
0.519,-18489.0,15534,14707.248445815081,0.25093999999999994
0.524,-18493.0,15723,14889.772658453156,0.25404000000000004
0.528,-18500.0,15922,15074.570527014113,0.2571399999999999
0.533,-18505.0,16121,15262.182212112928,0.26037
0.537,-18510.0,16318,15451.852096179617,0.26346
0.542,-18516.0,16526,15644.063964352757,0.26657
0.546,-18521.0,16728,15838.809498474364,0.26980000000000004
0.551,-18527.0,16933,16035.289523012038,0.27288999999999985
0.555,-18533.0,17142,16233.853831944685,0.276
0.56,-18537.0,17341,16433.495094536414,0.27923999999999993
0.564,-18540.0,17538,16632.811179752942,0.28234000000000004
0.568,-18543.0,17729,16831.07400838167,0.28546000000000005
0.573,-18550.0,17921,17027.99694242346,0.28857999999999984
0.577,-18555.0,18102,17222.854818533226,0.2916699999999999
0.582,-18559.0,18284,17415.06614733637,0.29478000000000004
0.586,-18564.0,18463,17604.957153249386,0.29789
0.59,-18568.0,18640,17792.49223750139,0.30098
0.595,-18575.0,18812,17977.444728021026,0.3041099999999999
0.599,-18577.0,18981,18159.53379927068,0.30725
0.604,-18581.0,19146,18338.633327830532,0.31035999999999997
0.608,-18585.0,19306,18514.44405229905,0.3134699999999999
0.612,-18591.0,19460,18686.527876490254,0.3166
0.617,-18596.0,19614,18855.028818506667,0.3196999999999999
0.621,-18599.0,19766,19020.458615379455,0.32265999999999995
0.625,-18604.0,19915,19182.930426014205,0.32579999999999987
0.63,-18606.0,20062,19342.53498955498,0.32892999999999994
0.634,-18610.0,20205,19499.24600415237,0.33204999999999996
0.639,-18616.0,20347,19653.141442224118,0.33518000000000003
0.643,-18619.0,20485,19804.283827797026,0.3383099999999999
0.647,-18624.0,20622,19952.72329724036,0.34155
0.652,-18627.0,20756,20098.599116764875,0.3446799999999999
0.656,-18631.0,20889,20242.022960274586,0.34780999999999995
0.661,-18637.0,21020,20383.18343930753,0.35090999999999983
0.665,-18639.0,21152,20522.429922840347,0.3540399999999999
0.67,-18642.0,21280,20659.84443429254,0.35731999999999986
0.674,-18646.0,21404,20794.997430194504,0.36043000000000003
0.679,-18649.0,21528,20927.94072366903,0.36355000000000004
0.683,-18654.0,21647,21058.616799116153,0.3666799999999999
0.687,-18657.0,21767,21187.078599469678,0.36978999999999984
0.692,-18662.0,21886,21313.764830983273,0.37288999999999994
0.696,-18665.0,22002,21438.631027929205,0.37615
0.701,-18668.0,22120,21561.93872394508,0.37910999999999984
0.705,-18671.0,22237,21684.095762317313,0.3823399999999999
0.709,-18674.0,22351,21804.933865940537,0.38547
0.714,-18677.0,22466,21924.516224194114,0.3885799999999999
0.718,-18681.0,22577,22042.7944437984,0.39166999999999996
0.723,-18683.0,22695,22160.324098523404,0.39476
0.727,-18689.0,22804,22277.055372445095,0.39815999999999985
0.732,-18691.0,22917,22392.65112995412,0.40108999999999995
0.736,-18695.0,23028,22507.53447313376,0.40432999999999986
0.74,-18697.0,23143,22622.044676393656,0.40730999999999984
0.745,-18701.0,23252,22736.057542230898,0.4105399999999999
0.749,-18704.0,23362,22849.176290408373,0.41364
0.754,-18707.0,23471,22961.578069199113,0.41674999999999995
0.758,-18711.0,23579,23073.206802779314,0.41984
0.762,-18712.0,23692,23184.611904489295,0.42276999999999987
0.767,-18717.0,23800,23295.83768169641,0.4260299999999999
0.771,-18720.0,23914,23407.018726488393,0.42913
0.776,-18723.0,24024,23518.362027890802,0.43221
0.78,-18726.0,24133,23629.34012270484,0.43531999999999993
0.785,-18729.0,24252,23740.916936579088,0.4384299999999999
0.789,-18732.0,24367,23853.568226553914,0.44179999999999997
0.794,-18735.0,24475,23965.991415642267,0.4450399999999999
0.798,-18737.0,24589,24078.132633463807,0.4481599999999999
0.803,-18739.0,24715,24191.83088315455,0.45138999999999996
0.808,-18744.0,24829,24306.777675665347,0.4549099999999999
0.813,-18747.0,24945,24421.735009982047,0.45818000000000003
0.817,-18750.0,25062,24536.997987027844,0.4614099999999999
0.822,-18753.0,25174,24652.10979821247,0.46465999999999985
0.826,-18755.0,25288,24766.80320394425,0.46778999999999993
0.831,-18757.0,25415,24882.647049034425,0.47092
0.835,-18762.0,25545,25000.99841196752,0.47445000000000004
0.84,-18763.0,25667,25120.865171484806,0.4780199999999999
0.845,-18767.0,25785,25240.7583294533,0.48116000000000003
0.849,-18770.0,25917,25361.663287419993,0.48427
0.854,-18771.0,26043,25484.172086559804,0.48797999999999986
0.859,-18775.0,26167,25607.174458246074,0.49109999999999987
0.863,-18777.0,26291,25730.374486393972,0.49434
0.868,-18780.0,26416,25853.832073226768,0.49746999999999986
0.872,-18783.0,26540,25977.496189580976,0.5005899999999999
0.877,-18786.0,26668,26101.62310604806,0.5036799999999999
0.881,-18788.0,26808,26227.706140569946,0.5067999999999999
0.886,-18791.0,26960,26357.735250868333,0.51021
0.891,-18794.0,27093,26490.235173089197,0.51386
0.895,-18797.0,27229,26623.131363430526,0.51698
0.9,-18797.0,27368,26756.93968979949,0.5202499999999999
0.904,-18799.0,27508,26891.875686719864,0.52335
0.909,-18804.0,27670,27029.994386020066,0.5265899999999999
0.914,-18806.0,27814,27171.061463188315,0.5301399999999998
0.918,-18809.0,27960,27312.90775602244,0.53338
0.923,-18811.0,28118,27456.765765848944,0.53647
0.928,-18813.0,28272,27603.0294239332,0.53989
0.932,-18816.0,28427,27750.924918421268,0.5429999999999999
0.936,-18817.0,28611,27903.100834841964,0.5461
0.942,-18821.0,28785,28060.59130917337,0.5497999999999998
0.946,-18823.0,28952,28220.659313408167,0.5530599999999999
0.951,-18824.0,29118,28382.00166552048,0.55617
0.955,-18828.0,29287,28544.564009965292,0.5592999999999999
0.959,-18830.0,29467,28709.49151859469,0.56229
0.964,-18832.0,29679,28880.575306685827,0.5653899999999998
0.969,-18836.0,29895,29060.161927420762,0.5690899999999999
0.974,-18837.0,30113,29247.161124624596,0.5726499999999999
0.979,-18839.0,30313,29438.519260697547,0.57603
0.983,-18843.0,30522,29632.481146370683,0.57915
0.987,-18845.0,30735,29829.818731534608,0.5822799999999999
0.992,-18847.0,30961,30031.547275172077,0.58554
0.996,-18848.0,31190,30238.381823526433,0.58867
1.001,-18851.0,31425,30450.202311091893,0.5916699999999999
1.005,-18852.0,31670,30667.605902746865,0.5948099999999998
1.009,-18855.0,31929,30891.863954689692,0.5979399999999999
1.014,-18857.0,32187,31122.90623899548,0.6012299999999999
1.018,-18859.0,32460,31360.775504919722,0.60422
1.023,-18862.0,32744,31606.694790094836,0.6073499999999998
1.027,-18865.0,33031,31860.456058033775,0.61049
1.031,-18867.0,33328,32121.79342658282,0.61378
1.036,-18866.0,33613,32389.0077441864,0.6169199999999999
1.04,-18870.0,33896,32659.54774786246,0.6200699999999999
1.045,-18872.0,34173,32931.96202613023,0.62323
1.049,-18874.0,34446,33204.888604020336,0.6263699999999999
1.053,-18877.0,34713,33477.23534969991,0.6293499999999999
1.058,-18880.0,34977,33748.22557461312,0.63249
1.062,-18881.0,35237,34017.43459903199,0.6356299999999999
1.066,-18882.0,35492,34284.32375711999,0.63876
1.071,-18884.0,35749,34549.055486004996,0.64191
1.075,-18887.0,35998,34811.462850206015,0.64506
1.08,-18888.0,36232,35069.72791454138,0.6483399999999999
1.084,-18892.0,36464,35322.987303766495,0.6514799999999998
1.088,-18893.0,36689,35571.34120544786,0.6544699999999999
