5672, -16408.61
5674, -16419.95
5676, -16430.38
5678, -16441.65
5680, -16452.30
5682, -16462.54
5685, -16478.13
5687, -16490.36
5690, -16504.18
5692, -16514.61
5695, -16523.41
5697, -16532.38
5699, -16541.27
5701, -16550.09
5703, -16558.78
5707, -16570.47
5709, -16579.03
5711, -16585.66
5713, -16592.07
5716, -16601.95
5719, -16609.30
5721, -16616.07
5724, -16624.82
5727, -16631.40
5729, -16636.26
5731, -16641.62
5734, -16648.84
5736, -16653.57
5739, -16659.32
5741, -16663.40
5744, -16668.83
5746, -16672.78
5749, -16677.20
5751, -16680.58
5753, -16683.89
5756, -16688.27
5759, -16692.31
5761, -16695.34
5764, -16697.96
5766, -16700.84
5768, -16703.52
5771, -16706.35
5774, -16709.09
5776, -16711.18
5779, -16713.22
5781, -16714.96
5783, -16716.37
5785, -16717.79
5788, -16719.11
5790, -16720.41
5792, -16721.47
5794, -16722.43
5796, -16723.34
5798, -16724.27
5800, -16725.03
5803, -16725.73
5805, -16726.38
5807, -16726.92
5809, -16727.34
5811, -16727.82
5813, -16728.18
5815, -16728.37
5817, -16728.50
5819, -16728.59
5821, -16728.62
5824, -16728.63
5826, -16728.58
5828, -16728.44
5830, -16728.24
5832, -16728.02
5834, -16727.75
5836, -16727.41
5838, -16727.03
5840, -16726.64
5841, -16726.20
5844, -16725.64
5846, -16725.12
5848, -16724.56
5850, -16723.86
5852, -16723.19
5854, -16722.33
5856, -16721.50
5858, -16720.66
5861, -16719.60
5863, -16718.62
5865, -16717.66
5867, -16716.75
5870, -16715.64
5872, -16714.69
5875, -16713.00
5878, -16711.47
5880, -16710.38
5882, -16709.20
5884, -16707.93
5886, -16706.67
5888, -16705.29
5890, -16703.83
5892, -16702.55
5894, -16701.32
5896, -16699.93
5898, -16698.52
5901, -16697.05
5903, -16695.63
5905, -16694.14
5907, -16692.72
5909, -16691.25
5911, -16689.83
5913, -16688.37
5915, -16686.80
5917, -16685.22
5919, -16683.62
5921, -16682.01
5923, -16680.36
5925, -16678.79
5927, -16677.14
5929, -16675.42
5931, -16673.80
5933, -16672.19
5935, -16670.54
5937, -16668.71
5940, -16666.81
5942, -16664.88
5944, -16662.92
5946, -16661.19
5949, -16659.00
5951, -16657.04
5954, -16654.03
5957, -16651.63
5961, -16648.55
5962, -16646.74
5964, -16644.94
5968, -16641.97
5970, -16639.39
5973, -16637.40
5975, -16635.33
5977, -16632.86
5979, -16631.01
5981, -16629.08
5984, -16626.39
5987, -16624.14
5989, -16621.79
5991, -16619.80
5993, -16617.87
5995, -16615.95
5997, -16613.67
5999, -16611.67
6001, -16609.66
6003, -16607.75
6005, -16605.65
6007, -16603.67
6010, -16601.60
6012, -16599.52
6014, -16597.51
6016, -16595.55
6017, -16593.56
6019, -16591.63
6021, -16589.65
6023, -16587.73
6025, -16585.63
6027, -16583.64
6029, -16581.64
6031, -16579.67
6033, -16577.75
6035, -16575.83
6037, -16573.48
6039, -16571.49
6041, -16569.54
6043, -16567.53
6045, -16565.49
6047, -16563.47
6049, -16561.34
6051, -16559.36
6053, -16557.30
6055, -16555.24
6057, -16553.20
