time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
12.049,2.73480247224082,2.741461852813958,2.4096342216120936,2.733874739323711,2.7344358411807232,
12.054,2.731587219082324,2.7398239408185767,2.410741841646317,2.7310130037044766,2.734041179491037,
12.059,2.728371965923828,2.7378735159676664,2.4116124401094297,2.728206301462535,2.733163177216949,
12.064,2.7251567127653313,2.735672495294241,2.41220955214434,2.7252711880069103,2.7318903278251208,
12.069,2.72148213772705,2.7332250265502904,2.4125696426081413,2.7221526299603087,2.7302699675088853,
12.073,2.7182668845685543,2.73057993759377,2.412720060143653,2.7189423496182186,2.728343688434941,
12.079,2.7155109532898436,2.7278673859670044,2.412679037179422,2.715732069276129,2.726163014869687,
12.083,2.712755022011133,2.72514623968791,2.4124830385725433,2.7120264885384024,2.723729283035412,
12.089,2.7081618032132813,2.722236194043831,2.4120226697517344,2.708559385768945,2.721067188798874,
12.094,2.7049465500547845,2.7191291730924987,2.411370860431183,2.7047253938175353,2.7182092559476287,
12.101,2.6998940093771484,2.715818700948651,2.4103407282182845,2.7011665687525896,2.715185198970565,
12.106,2.6962194343388672,2.712299584770571,2.4092513406126095,2.6979195994923044,2.71208608376834,
12.111,2.692085537420801,2.7087041662101887,2.408048000328516,2.694911108200289,2.7089812991658153,
12.116,2.6897889280218745,2.705184068435249,2.4068081951873275,2.6914806943490275,2.705853795816514,
12.121,2.685195709224023,2.701678866528114,2.4052128576894765,2.6884171696797186,2.702702623121701,
12.126,2.681980456065527,2.6980946054548895,2.403681333691539,2.6855004006831913,2.699583353893995,
12.13,2.6792245247868163,2.694628956459793,2.4021361353721913,2.681849853322758,2.69643151488264,
12.136,2.67509062786875,2.6911674155942067,2.4000348479821643,2.6789330843262307,2.693253559020159,
12.141,2.671875374710254,2.6876636670444545,2.398216163234613,2.6758328707387267,2.690109178555357,
12.146,2.6691194434315424,2.6842625789200083,2.396397478487062,2.673026168496785,2.6870026248795242,
12.15,2.6663635121528317,2.6809893133699294,2.394587909953785,2.670219466254844,2.6839554796753853,
12.155,2.6645262246336907,2.6779095491433464,2.3927190860277303,2.667210974962828,2.680935982694473,
12.16,2.661310971475195,2.6749394466433634,2.3907089607804375,2.6642575170481053,2.6779241180118163,
12.164,2.658555040196484,2.671966275221887,2.388703393640281,2.6609371699514295,2.67488748004102,
12.17,2.6539618213986325,2.6688541372583,2.3862465738935903,2.657763578527535,2.6718091698984554,
12.175,2.6502872463603513,2.6655395619171856,2.38391282303959,2.654883498449203,2.668741058189455,
12.179,2.6475313150816406,2.662244664918102,2.3817112572925545,2.6516181847298204,2.6656720380335,
12.185,2.644775383802929,2.6590565512327653,2.3791997402602227,2.6486463823559996,2.662593203115828,
12.189,2.641560130644433,2.655908562387479,2.3768340826562655,2.645381068636617,2.6595064979994048,
12.195,2.637885555606152,2.6527017448240335,2.3742587521240193,2.6416387989806958,2.656337157040827,
12.201,2.63237369304873,2.649220244637193,2.371045286592633,2.638190040670336,2.6530833799742157,
12.206,2.6286991180104486,2.6455184836939623,2.3680095872395786,2.634649560064488,2.6497818856824042,
12.212,2.624565221092382,2.641776607110043,2.365046817600711,2.6314392797223984,2.646465752590623,
12.217,2.6213499679338863,2.6380480647360587,2.3621569776760314,2.6280088658711365,2.6431487845934116,
12.222,2.6181347147753904,2.6344212184834945,2.359066581037336,2.624321629592508,2.6397838983368946,
12.228,2.614000817857324,2.630784915900579,2.3559032546844527,2.6207077711502698,2.636362415087041,
