time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
0.252,2826.0,2826.0,2741.779999999999,-0.01750061397916406,-0.002275797847502724,0.009369999999999878
0.257,2833.0,2833.0,2747.2000000000007,-0.023224085217632813,-0.005859220423750987,0.012419999999999876
0.262,2842.0,2842.0,2752.91,-0.03054352439759765,-0.010024744696980387,0.016019999999999923
0.268,2854.0,2854.0,2759.9300000000003,-0.03590010645411328,-0.014620695771433375,0.020849999999999813
0.273,2862.0,2862.0,2765.1699999999983,-0.041495166478898435,-0.019390972275324752,0.02462999999999993
0.277,2870.0,2870.0,2770.5999999999985,-0.047090226503683594,-0.024324660132026478,0.028529999999999944
0.281,2877.0,2877.0,2776.040000000001,-0.05279535328305469,-0.0294002868082671,0.03216999999999981
0.286,2885.0,2885.0,2781.709999999999,-0.05842710222603516,-0.03459336500389112,0.03572999999999982
0.29,2894.0,2894.0,2787.4399999999987,-0.06411388454630859,-0.03987880721704288,0.0391999999999999
0.295,2901.0,2901.0,2793.380000000001,-0.06958053335741016,-0.04522195835789471,0.04261999999999988
0.299,2910.0,2910.0,2799.470000000001,-0.0757626160733203,-0.05066045079799414,0.045989999999999975
0.304,2918.0,2918.0,2806.4399999999987,-0.081596154066375,-0.05621174012141111,0.04976999999999987
0.309,2927.0,2927.0,2813.279999999999,-0.0876314811095039,-0.061838940209502494,0.05335000000000001
0.314,2936.0,2936.0,2820.7599999999984,-0.09313481883880077,-0.06749430045177458,0.05718999999999985
0.319,2946.0,2946.0,2827.8300000000017,-0.09893166791366015,-0.07314861719419571,0.06068999999999991
0.324,2956.0,2956.0,2835.7400000000016,-0.10426990551107812,-0.07878574183790321,0.06459999999999999
0.329,2964.0,2964.0,2843.4300000000003,-0.10966317648578906,-0.08436910086174597,0.06821999999999995
0.334,2975.0,2975.0,2851.4199999999983,-0.11490969178771875,-0.08990026034997489,0.0719599999999998
0.34,2985.0,2985.0,2859.5499999999993,-0.12006448479416015,-0.09536593802100099,0.07567999999999997
0.345,2996.0,2996.0,2868.130000000001,-0.12472397740496485,-0.10072095521549608,0.07953999999999994
0.35,3003.0,3003.0,2876.0200000000004,-0.12932843663847657,-0.10593271887805561,0.08308999999999989
0.355,3013.0,3013.0,2884.1699999999983,-0.13402461816747657,-0.111033245829648,0.0866499999999999
0.36,3023.0,3023.0,2892.8899999999994,-0.13890424428745313,-0.11607183390052109,0.0904799999999999
0.366,3033.0,3033.0,2902.119999999999,-0.14316015879810937,-0.12101714056552991,0.09441999999999995
0.371,3044.0,3044.0,2910.459999999999,-0.14778296249071873,-0.12586220568389292,0.09794999999999998
0.377,3052.0,3052.0,2919.91,-0.15185543241039842,-0.13060871714379083,0.10200999999999993
0.382,3062.0,3062.0,2928.380000000001,-0.15601962462556643,-0.13523076951212992,0.10550999999999999
0.387,3071.0,3071.0,2937.0800000000017,-0.15932162726314453,-0.13967669647789466,0.10914000000000001
0.391,3080.0,3080.0,2944.4900000000016,-0.16262362990072265,-0.14389598188590969,0.11217999999999995
0.396,3090.0,3090.0,2952.0200000000004,-0.16583391024281247,-0.14792444309989805,0.11524000000000001
0.4,3097.0,3097.0,2959.5,-0.16906253504399998,-0.15179261838026548,0.11829999999999985
0.404,3105.0,3105.0,2967.119999999999,-0.17218109309060153,-0.15552317829278042,0.12134
0.409,3111.0,3111.0,2974.59,-0.17570322923735154,-0.15917246423524345,0.12424999999999997
0.414,3120.0,3120.0,2983.3600000000006,-0.17959225456605465,-0.16283290366030787,0.12785000000000002
0.42,3134.0,3134.0,2993.209999999999,-0.18291260166273046,-0.16648229690461464,0.13168999999999986
0.424,3140.0,3140.0,3001.709999999999,-0.18636135997308984,-0.17007921825786992,0.135
0.43,3150.0,3150.0,3010.6899999999987,-0.18971839598796092,-0.1736376983054162,0.13857999999999993
0.435,3159.0,3159.0,3019.459999999999,-0.19305708754373435,-0.1771544497205856,0.14198999999999984
0.44,3168.0,3168.0,3028.34,-0.19670763490416796,-0.18066681621176847,0.14568999999999988
0.445,3180.0,3180.0,3038.5699999999997,-0.19988122632806252,-0.18415931120428725,0.14952999999999994
0.45,3187.0,3187.0,3047.220000000001,-0.20305481775195705,-0.1875886229950994,0.15279999999999982
0.455,3198.0,3198.0,3056.2000000000007,-0.2061733757985586,-0.19096181806043963,0.15637999999999996
0.46,3207.0,3207.0,3065.0999999999985,-0.2093102783042578,-0.1942863800817717,0.15994999999999981
0.465,3215.0,3215.0,3074.029999999999,-0.21248386972815234,-0.19757739632807472,0.16337000000000002
0.47,3224.0,3224.0,3082.9900000000016,-0.2155107054792656,-0.2008306095390305,0.1668299999999998
0.475,3231.0,3231.0,3091.6100000000006,-0.21861091906676952,-0.2040462404506096,0.17026999999999992
0.48,3241.0,3241.0,3100.3300000000017,-0.22167444373607811,-0.20723536962762576,0.1737099999999998
0.485,3250.0,3250.0,3109.2700000000004,-0.22484803515997262,-0.21041051680379166,0.17718999999999996
0.491,3260.0,3260.0,3118.4799999999996,-0.22805831550206251,-0.21358899026524933,0.18077999999999994
0.496,3268.0,3268.0,3127.84,-0.23128694030325,-0.21677558276844583,0.18436999999999992
0.501,3277.0,3277.0,3137.1899999999987,-0.2342037092997773,-0.21993960955068317,0.18813999999999997
0.506,3284.0,3284.0,3145.4799999999996,-0.23688200032803514,-0.22303102366372451,0.19143999999999983
0.51,3291.0,3291.0,3153.040000000001,-0.23952360243809764,-0.22603695268491658,0.19448
0.515,3299.0,3299.0,3160.720000000001,-0.24220189346635546,-0.22897433346393,0.19741999999999993
0.519,3306.0,3306.0,3168.4300000000003,-0.24486184003551564,-0.23185856447455133,0.20058999999999982
0.524,3312.0,3312.0,3175.9300000000003,-0.24748509768648044,-0.23469472430544266,0.20362999999999998
0.528,3319.0,3319.0,3183.3499999999985,-0.2506403446512773,-0.23754140315528763,0.20655999999999985
0.533,3327.0,3327.0,3192.4900000000016,-0.25379559161607423,-0.24044921748107395,0.21026999999999996
0.538,3336.0,3336.0,3201.0099999999984,-0.25707924979455465,-0.24341877555664687,0.21384999999999987
0.544,3343.0,3343.0,3210.2400000000016,-0.26012443000476565,-0.24642694075544927,0.21760000000000002
0.549,3352.0,3352.0,3218.3899999999994,-0.2636098772333203,-0.2494860538533752,0.22087999999999997
0.554,3361.0,3361.0,3228.1100000000006,-0.2669485687890937,-0.25261509689541767,0.2248699999999999
0.56,3370.0,3370.0,3237.209999999999,-0.2703606381812578,-0.25579294587499307,0.22872999999999988
0.565,3379.0,3379.0,3246.4399999999987,-0.27364429635973825,-0.25900447926835835,0.23255999999999988
0.571,3386.0,3386.0,3254.91,-0.27637762076528904,-0.2621757846702344,0.2360199999999999
0.575,3392.0,3392.0,3262.029999999999,-0.2791292896299375,-0.26526213175407815,0.23903999999999992
0.579,3397.0,3397.0,3269.130000000001,-0.2819359918718789,-0.26828762204342155,0.24205999999999994
0.584,3403.0,3403.0,3276.220000000001,-0.28477938303201555,-0.2712733991751943,0.24509999999999987
0.588,3409.0,3409.0,3283.2999999999993,-0.28789794107861716,-0.2742582247995187,0.2481399999999998
0.593,3416.0,3416.0,3291.0499999999993,-0.29121828817529294,-0.2772895362057424,0.2515399999999999
