time_s,magnetic_raw_mm,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
0.0,0.0,0.0,0.0,0.0
0.005,-0.00048828125,-0.022074912863129015,-1.9531249999982236e-05,0.0
0.012,0.0,-0.04484721611817566,-1.9531249999982236e-05,-9.999999999843467e-06
0.016,0.0,-0.06043594252575346,-3.9062500000019984e-05,-9.999999999843467e-06
0.021,0.0,-0.07517230289876498,-3.9062500000019984e-05,-9.999999999843467e-06
0.026,0.00048828125,-0.09107553869877627,-3.9062500000019984e-05,-1.999999999990898e-05
0.031,0.00048828125,-0.10438521153799485,-3.9062500000019984e-05,-1.999999999990898e-05
0.036,0.00048828125,-0.1179227897340498,-3.9062500000019984e-05,-2.999999999997449e-05
0.04,0.0,-0.1297966588252022,-5.859375000000222e-05,-2.999999999997449e-05
0.046,0.0,-0.14191210759460127,-5.859375000000222e-05,-4.0000000000040004e-05
0.051,0.00048828125,-0.15499843318412054,-7.812499999998446e-05,-4.999999999988347e-05
0.056,0.00048828125,-0.16508096617054235,-7.812499999998446e-05,-4.999999999988347e-05
0.062,0.00048828125,-0.1752956842639284,-7.812499999998446e-05,-4.999999999988347e-05
0.067,0.0,-0.1847947795368503,-9.76562500000222e-05,-4.999999999988347e-05
0.072,-0.00048828125,-0.1943850369525073,-9.76562500000222e-05,-5.999999999994898e-05
0.077,0.0,-0.20141819626446456,-9.76562500000222e-05,-5.999999999994898e-05
0.081,0.00048828125,-0.2079773124342026,-9.76562500000222e-05,-5.999999999994898e-05
0.086,0.0,-0.21470963667513576,-9.76562500000222e-05,-5.999999999994898e-05
0.092,0.00048828125,-0.22244018637901064,-0.00011718750000000444,-7.00000000000145e-05
0.096,0.00048828125,-0.2285298175136674,-0.00011718750000000444,-7.00000000000145e-05
0.102,-0.00048828125,-0.2346012162197768,-0.00013671874999998668,-7.00000000000145e-05
0.107,-0.00048828125,-0.240285175819265,-0.00013671874999998668,-7.00000000000145e-05
0.112,0.0,-0.24523072206260466,-0.00013671874999998668,-7.00000000000145e-05
0.116,0.0,-0.24948799412829992,-0.00013671874999998668,-7.00000000000145e-05
0.121,-0.0009765625,-0.254027868836471,-0.00015625000000002442,-7.999999999985796e-05
0.126,0.0,-0.25820765308084326,-0.00015625000000002442,-8.999999999992347e-05
0.13,-0.00048828125,-0.2621549738612421,-0.00015625000000002442,-8.999999999992347e-05
0.135,0.0,-0.26598378385608434,-0.00015625000000002442,-8.999999999992347e-05
0.14,0.0,-0.2695801303869567,-0.00015625000000002442,-9.999999999998899e-05
0.146,-0.00048828125,-0.27311266341791374,-0.00015625000000002442,-9.999999999998899e-05
0.151,-0.00048828125,-0.27670445184164727,-0.00015625000000002442,-9.999999999998899e-05
0.156,-0.00048828125,-0.2794256418022689,-0.00015625000000002442,-0.00010999999999983245
0.16,-0.00048828125,-0.28190981019178096,-0.00015625000000002442,-0.00010999999999983245
