time_s,magnetic_raw_mm,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
0.0,0.0,0.0,0.0,0.0
0.004,-0.00048828125,-0.01832359068960976,0.0,-9.999999999843467e-06
0.009,-0.0009765625,-0.03516123845264829,-1.953125000000132e-05,-1.999999999990898e-05
0.013,0.0,-0.051023451288429555,-1.953125000000132e-05,-2.999999999997449e-05
0.018,-0.00048828125,-0.06623841291079646,-1.953125000000132e-05,-2.999999999997449e-05
0.022,0.0,-0.08032752207039451,-1.953125000000132e-05,-2.999999999997449e-05
0.027,-0.0009765625,-0.0936326368024778,-3.90625000000009e-05,-2.999999999997449e-05
0.031,-0.00048828125,-0.10683291507041481,-3.90625000000009e-05,-2.999999999997449e-05
0.036,0.0,-0.11858827337601241,-3.90625000000009e-05,-3.999999999981796e-05
0.04,-0.00048828125,-0.12984679800370635,-3.90625000000009e-05,-3.999999999981796e-05
0.044,-0.00048828125,-0.14043983898944212,-3.90625000000009e-05,-4.999999999988347e-05
0.049,0.0,-0.15058162736864134,-3.90625000000009e-05,-4.999999999988347e-05
0.053,-0.00048828125,-0.15999867671310142,-5.8593750000000486e-05,-4.999999999988347e-05
0.058,0.00048828125,-0.16922428555781988,-5.8593750000000486e-05,-4.999999999988347e-05
0.062,0.00048828125,-0.17771603915352685,-5.8593750000000486e-05,-4.999999999988347e-05
0.067,0.00048828125,-0.18577477257124642,-7.812500000000007e-05,-5.999999999994898e-05
0.071,0.00048828125,-0.19336402095388383,-7.812500000000007e-05,-5.999999999994898e-05
0.075,0.00048828125,-0.20048378430143732,-7.812500000000007e-05,-5.999999999994898e-05
0.08,0.00048828125,-0.20739387472070359,-7.812500000000007e-05,-6.999999999979245e-05
0.084,0.0,-0.21383448010488681,-7.812500000000007e-05,-6.999999999979245e-05
0.089,-0.00048828125,-0.219937785560953,-9.765624999999965e-05,-7.999999999985796e-05
0.093,0.00048828125,-0.22561262894616885,-9.765624999999965e-05,-7.999999999985796e-05
0.097,-0.00048828125,-0.23104589265313624,-9.765624999999965e-05,-7.999999999985796e-05
0.102,0.0,-0.2361828793962184,-9.765624999999965e-05,-8.999999999992347e-05
