time_s,magnetic_raw_mm,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
0.0,0.0,0.0,0.0,0.0
0.004,-0.00048828125,-0.017676339476194514,0.0,-1.0000000000065512e-05
0.009,0.0,-0.035065518202777035,0.0,0.0
0.014,0.0,-0.05187125921585878,0.0,-1.0000000000065512e-05
0.019,-0.00048828125,-0.06780640176582686,0.0,-1.0000000000065512e-05
0.024,-0.00048828125,-0.08343615113763647,0.0,-2.0000000000131024e-05
0.029,0.00048828125,-0.097037542833605,0.0,-2.0000000000131024e-05
0.034,0.0,-0.11126795331444139,0.0,-1.0000000000065512e-05
0.039,-0.00048828125,-0.12548924758100455,-1.9531249999982236e-05,-2.0000000000131024e-05
0.045,-0.00048828125,-0.13797846113561274,-1.9531249999982236e-05,-2.0000000000131024e-05
0.05,-0.00048828125,-0.14953782083433165,-1.9531249999982236e-05,-2.0000000000131024e-05
0.055,0.0,-0.16078722924775413,-1.9531249999982236e-05,-3.0000000000196536e-05
0.06,0.0,-0.1699946056639261,-1.9531249999982236e-05,-3.0000000000196536e-05
0.064,-0.00048828125,-0.17817640797433665,-1.9531249999982236e-05,-3.0000000000196536e-05
0.07,-0.00048828125,-0.18703281014098128,-1.9531249999982236e-05,-3.0000000000196536e-05
0.074,0.00048828125,-0.19473145309489848,-1.9531249999982236e-05,-4.000000000026205e-05
0.08,0.0,-0.20286311622680486,-1.9531249999982236e-05,-4.000000000026205e-05
0.085,0.00048828125,-0.21043413218089313,-1.9531249999982236e-05,-6.000000000039307e-05
0.09,0.0,-0.2174034779929368,-1.9531249999982236e-05,-7.00000000000145e-05
0.095,0.00048828125,-0.2237985023057547,-1.9531249999982236e-05,-7.00000000000145e-05
0.101,-0.00048828125,-0.23006134151160484,-1.9531249999982236e-05,-7.00000000000145e-05
0.105,0.0,-0.2354672565757534,-1.9531249999982236e-05,-7.00000000000145e-05
0.11,0.0,-0.2404492676761869,-1.9531249999982236e-05,-7.00000000000145e-05
0.115,-0.00048828125,-0.2447612370275234,-1.9531249999982236e-05,-7.00000000000145e-05
0.119,-0.00048828125,-0.24892734695048446,-1.9531249999982236e-05,-7.00000000000145e-05
0.123,0.0,-0.25273336640964494,-1.9531249999982236e-05,-7.00000000000145e-05
0.128,0.0,-0.25630236429769404,-3.9062500000019984e-05,-7.00000000000145e-05
0.132,-0.00048828125,-0.2599442918999344,-3.9062500000019984e-05,-7.00000000000145e-05
0.137,-0.00048828125,-0.2632124547169603,-3.9062500000019984e-05,-7.00000000000145e-05
0.141,0.00048828125,-0.2663301999984764,-3.9062500000019984e-05,-7.00000000000145e-05
0.146,0.0,-0.26922915613742937,-3.9062500000019984e-05,-7.00000000000145e-05
0.15,0.0,-0.27197313663373457,-0.0002539062499999911,-7.00000000000145e-05
0.155,-0.005859375,-0.27485841845127723,-0.0016992187500000089,-0.00016000000000016001
0.159,-0.01171875,-0.27773002594741136,-0.004199218750000011,-0.0007900000000002905
0.163,-0.015625,-0.2806836793720038,-0.007460937499999987,-0.0019100000000000783
0.168,-0.02001953125,-0.28366923954655476,-0.011308593749999984,-0.003370000000000317
0.172,-0.02392578125,-0.2867094970067452,-0.015468749999999976,-0.005300000000000082
0.176,-0.02880859375,-0.2898226841811251,-0.019882812500000013,-0.007620000000000182
0.181,-0.0322265625,-0.29293587135550325,-0.024785156249999996,-0.010250000000000092
0.185,-0.03662109375,-0.2962997544224013,-0.02953125000000001,-0.01338000000000017
