1126,,2.54058
,,2.54055
01:Graph01,,2.54025
mm,,2.53916
,,2.53720
,,2.53393
,,2.52906
,,2.52444
,,2.51905
,,2.51411
,,2.50926
,,2.50553
,,2.50204
,,2.49811
,,2.49449
,,2.49083
,,2.48795
,,2.48455
,,2.48139
,,2.47860
,,2.47589
,,2.47330
,,2.47060
,,2.46856
,,2.46673
,,2.46489
,,2.46300
,,2.46157
,,2.46031
,,2.45901
,,2.45778
,,2.45658
,,2.45579
,,2.45512
,,2.45455
,,2.45379
,,2.45300
,,2.45236
,,2.45176
,,2.45113
,,2.45057
,,2.45007
,,2.44963
,,2.44912
,,2.44862
,,2.44825
,,2.44798
,,2.44788
,,2.44785
,,2.44788
,,2.44795
,,2.44791
,,2.44790
,,2.44786
,,2.44782
,,2.44782
,,2.44778
,,2.44776
,,2.44773
,,2.44769
,,2.44766
,,2.44763
,,2.44760
,,2.44755
,,2.44750
,,2.44746
,,2.44741
,,2.44738
,,2.44732
,,2.44730
,,2.44727
,,2.44725
,,2.44724
,,2.44723
,,2.44723
,,2.44722
,,2.44719
,,2.44717
,,2.44709
,,2.44702
,,2.44671
,,2.44629
,,2.44552
,,2.44430
,,2.44269
,,2.44084
,,2.43875
,,2.43620
,,2.43360
,,2.43093
,,2.42804
,,2.42448
,,2.42080
,,2.41717
,,2.41318
,,2.40904
,,2.40554
,,2.40197
,,2.39866
,,2.39541
,,2.39230
,,2.38929
,,2.38660
,,2.38384
,,2.38137
,,2.37907
,,2.37706
,,2.37502
,,2.37312
,,2.37144
,,2.36987
,,2.36853
,,2.36726
,,2.36614
,,2.36529
,,2.36448
,,2.36358
,,2.36261
,,2.36187
,,2.36124
,,2.36057
,,2.35994
,,2.35951
,,2.35910
,,2.35861
,,2.35821
,,2.35785
,,2.35756
,,2.35737
,,2.35730
,,2.35731
,,2.35728
,,2.35726
,,2.35722
,,2.35716
,,2.35714
,,2.35711
,,2.35708
,,2.35707
,,2.35707
,,2.35708
,,2.35705
,,2.35704
,,2.35702
,,2.35699
,,2.35696
,,2.35695
,,2.35694
,,2.35692
,,2.35692
,,2.35711
,,2.35701
,,2.35652
,,2.35524
,,2.35313
,,2.35028
,,2.34672
,,2.34246
,,2.33783
,,2.33317
,,2.32854
,,2.32403
,,2.31979
,,2.31544
,,2.31090
,,2.30691
,,2.30298
,,2.29957
,,2.29638
,,2.29340
,,2.29066
,,2.28816
,,2.28595
,,2.28381
,,2.28174
,,2.27997
,,2.27834
,,2.27681
,,2.27523
,,2.27408
,,2.27306
,,2.27217
,,2.27115
,,2.27027
,,2.26958
,,2.26891
,,2.26825
,,2.26766
,,2.26727
,,2.26679
,,2.26633
,,2.26591
,,2.26563
,,2.26542
,,2.26535
,,2.26535
,,2.26535
,,2.26533
,,2.26531
,,2.26531
,,2.26530
,,2.26529
,,2.26528
