time_s,magnetic_raw_mm,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
0.175,0.00048828125,-0.27892425001723087,-0.00021484375000002665,-0.00011999999999989797
0.18,0.0,-0.2807566090861915,-0.00046875000000001776,-0.00012999999999996348
0.184,-0.00634765625,-0.28265733976220275,-0.0021289062500000067,-0.00022999999999995246
0.188,-0.0107421875,-0.28474495283082035,-0.0047656249999999956,-0.0008600000000000829
0.193,-0.0146484375,-0.2869328442564454,-0.007949218750000014,-0.0018599999999999728
0.197,-0.0185546875,-0.28919366539625724,-0.011386718749999997,-0.0031600000000000517
0.202,-0.02294921875,-0.29155020678594035,-0.015058593750000016,-0.004790000000000072
0.206,-0.0263671875,-0.29396600356840263,-0.01880859375000002,-0.006709999999999994
0.21,-0.0302734375,-0.2964319395293673,-0.022558593750000022,-0.008930000000000105
0.215,-0.03369140625,-0.298938898454562,-0.026308593750000026,-0.01144999999999996
0.219,-0.03759765625,-0.3014732060225773,-0.03005859375000003,-0.01411999999999991
0.223,-0.04248046875,-0.3040850014119165,-0.033867187500000034,-0.017220000000000013
0.228,-0.04541015625,-0.3068289819082217,-0.037617187500000024,-0.020590000000000108
0.232,-0.048828125,-0.309577520511664,-0.04128906250000003,-0.02424000000000004
0.237,-0.0517578125,-0.3123032685794218,-0.04482421875000002,-0.02794999999999992
0.241,-0.0556640625,-0.31505636529000025,-0.04828125000000001,-0.031400000000000095
0.245,-0.05908203125,-0.3178094620005769,-0.05166015625000002,-0.03479999999999994
0.25,-0.06298828125,-0.3206035816753863,-0.05505859375000002,-0.03801999999999994
0.254,-0.06689453125,-0.3234615148501092,-0.05837890625000003,-0.04136000000000006
0.258,-0.06982421875,-0.32631944802483215,-0.06167968750000001,-0.044689999999999896
0.263,-0.07421875,-0.3292366365923307,-0.06494140625000001,-0.04800000000000004
0.267,-0.07666015625,-0.33218573190978873,-0.06812500000000002,-0.05129000000000006
0.271,-0.07958984375,-0.3351165947986985,-0.07130859375000002,-0.05457000000000001
0.276,-0.08349609375,-0.3380246671519256,-0.07433593750000003,-0.057800000000000074
0.28,-0.08740234375,-0.3409509719336983,-0.07742187500000001,-0.06089000000000011
