time_s,magnetic_raw_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
0.0,-17728.0,0,0.0,-0.0
0.004,-17729.0,0,0.0,1.0000000000065512e-05
0.009,-17728.0,0,0.0,-0.0
0.014,-17728.0,0,0.0,1.0000000000065512e-05
0.019,-17729.0,0,0.0,1.0000000000065512e-05
0.024,-17729.0,0,0.0,2.0000000000131024e-05
0.029,-17727.0,0,0.0,2.0000000000131024e-05
0.034,-17728.0,0,0.0,1.0000000000065512e-05
0.039,-17729.0,1,0.0990631775919033,2.0000000000131024e-05
0.045,-17729.0,1,0.27756250646649994,2.0000000000131024e-05
0.05,-17729.0,1,0.42069641390841717,2.0000000000131024e-05
0.055,-17728.0,1,0.535471721965651,3.0000000000196536e-05
0.06,-17728.0,1,0.6275070165724064,3.0000000000196536e-05
0.064,-17729.0,1,0.7013076937104575,3.0000000000196536e-05
0.07,-17729.0,1,0.7604865116770497,3.0000000000196536e-05
0.074,-17727.0,1,0.807940446135835,4.000000000026205e-05
0.08,-17728.0,1,0.8459925055211699,4.000000000026205e-05
0.085,-17727.0,1,0.8765054490732507,6.000000000039307e-05
0.09,-17728.0,1,0.9009729743334284,7.00000000000145e-05
0.095,-17727.0,1,0.9205928379934394,7.00000000000145e-05
0.101,-17729.0,1,0.9363254895772892,7.00000000000145e-05
0.105,-17728.0,1,0.9489410882454541,7.00000000000145e-05
0.11,-17728.0,1,0.9590572043310338,7.00000000000145e-05
0.115,-17729.0,1,0.9671690512079613,7.00000000000145e-05
0.119,-17729.0,1,0.973673727429354,7.00000000000145e-05
0.123,-17728.0,1,0.9788896558593514,7.00000000000145e-05
0.128,-17728.0,2,1.0821353489925172,7.00000000000145e-05
0.132,-17729.0,2,1.2639885268486863,7.00000000000145e-05
0.137,-17729.0,2,1.40981179739762,7.00000000000145e-05
0.141,-17727.0,2,1.5267436348517114,7.00000000000145e-05
0.146,-17728.0,2,1.6205081935460783,7.00000000000145e-05
0.15,-17728.0,13,2.7853904754918486,7.00000000000145e-05
0.155,-17740.0,87,12.13984897200929,0.00016000000000016001
