time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,keyence_mm
0.0,0.0,0.0,0.0,0.0
0.004,0.000459321879784369,4.550188494892581e-05,-0.016413743799324365,-1.0000000000065512e-05
0.009,0.000459321879784369,0.00012749053222785384,-0.03159679867173537,-1.0000000000065512e-05
0.013,0.000459321879784369,0.00019323506765495715,-0.04610525368791052,0.0
0.017,0.000459321879784369,0.0002459538779046358,-0.05977957509806675,-1.0000000000065512e-05
0.021,0.0009186437595696262,0.0003337295873789327,-0.0727337155806218,-1.999999999990898e-05
0.026,0.0013779656393548834,0.000495118385359442,-0.08500413999266776,-1.999999999990898e-05
0.03,-0.0004593218797852572,0.00048802615418162387,-0.09725177386903106,-2.999999999997449e-05
0.035,0.0,0.00034583342607023447,-0.1082368120685242,-1.999999999990898e-05
0.039,0.0013779656393548834,0.0004138203647091638,-0.11885720169707792,-2.999999999997449e-05
0.044,0.000459321879784369,0.0005138391839443828,-0.12947303321849635,-2.999999999997449e-05
0.048,0.0009186437595696262,0.0005485397541257261,-0.1393276608480818,-2.999999999997449e-05
0.053,0.0,0.0005308633418653141,-0.14878117504963662,-4.0000000000040004e-05
0.057,0.0009186437595696262,0.0005166890927387839,-0.15756008939495736,-5.0000000000105516e-05
0.062,0.0013779656393548834,0.0006418287907761137,-0.16579658899100735,-5.0000000000105516e-05
0.066,0.000459321879784369,0.0006966731316034914,-0.17323541983813318,-5.999999999994898e-05
0.071,0.0013779656393548834,0.0007406513630802824,-0.18045546154269498,-7.00000000000145e-05
0.075,0.0009186437595696262,0.0008214182327961608,-0.18724704117640645,-7.00000000000145e-05
0.079,0.0013779656393548834,0.0008861830569956268,-0.19346429931089038,-8.000000000008001e-05
0.084,0.000459321879784369,0.0008926143776833188,-0.19964509258828222,-8.000000000008001e-05
0.089,0.0018372875191401405,0.000943273369193154,-0.20570281697297954,-8.999999999992347e-05
0.093,0.0013779656393548834,0.0010748992492558857,-0.21102212800153186,-8.000000000008001e-05
0.097,0.000459321879784369,0.0010439409186068862,-0.21614544042320283,-8.999999999992347e-05
0.102,0.0,0.0008826105943249946,-0.22116847448786725,-8.000000000008001e-05
0.106,0.000459321879784369,0.0007532440591736958,-0.2256217451604412,-8.999999999992347e-05
0.111,0.0013779656393548834,0.0007860140989616351,-0.2297832969762661,-8.999999999992347e-05
0.115,0.0009186437595696262,0.0008577934151561754,-0.23378531504230438,-8.999999999992347e-05
0.119,0.0,0.000778845702208552,-0.23753207910868746,-8.000000000008001e-05
0.123,0.000459321879784369,0.0006700377269283249,-0.2411056351038754,-8.000000000008001e-05
0.128,0.0,0.0005827874792052989,-0.24465184245624183,-7.00000000000145e-05
0.132,0.0009186437595696262,0.0005583256900015341,-0.2478470755590827,-7.00000000000145e-05
0.136,0.0,0.0005387104259339858,-0.2508736586978637,-8.000000000008001e-05
0.141,0.000459321879784369,0.0004774795776930949,-0.25380452158677436,-7.00000000000145e-05
0.145,0.0009186437595696262,0.0005193839441369242,-0.2565393858688054,-8.000000000008001e-05
0.149,0.0009186437595696262,0.0005984878361399648,-0.25911927450818784,-8.000000000008001e-05
0.153,0.0009186437595696262,0.0006619191623395894,-0.26159432668342664,-8.999999999992347e-05
0.158,0.000459321879784369,0.0006672811861257934,-0.26408761128721014,-8.000000000008001e-05
0.162,0.000459321879784369,0.0006260789667338143,-0.2663119675699299,-8.000000000008001e-05
0.167,0.000459321879784369,0.0005930399928954515,-0.2683904644242743,-8.000000000008001e-05
0.171,0.0009186437595696262,0.0006120487954717104,-0.2704051477787033,-8.999999999992347e-05
0.176,0.0013779656393548834,0.0007182952231751542,-0.27256113245437064,-9.999999999998899e-05
0.18,0.0013779656393548834,0.0008489933183554288,-0.2743296780234177,-9.999999999998899e-05
0.185,0.000459321879784369,0.0008627929064101416,-0.2760298519854141,-9.999999999998899e-05
0.19,0.0009186437595696262,0.0008283565474315226,-0.27772090973313635,-9.999999999998899e-05
0.194,0.000459321879784369,0.0008007429387431382,-0.279220526981117,-8.999999999992347e-05
0.198,0.0018372875191401405,0.0008696040835956831,-0.28062442397922727,-8.999999999992347e-05
0.202,0.0013779656393548834,0.0010158257907028365,-0.2819006939775086,-8.999999999992347e-05
0.207,0.0009186437595696262,0.001042073354034068,-0.28314961533296845,-8.999999999992347e-05
0.211,0.0009186437595696262,0.0010176186983610125,-0.28433016508137854,-8.999999999992347e-05
0.215,0.000459321879784369,0.0009525072695347209,-0.2854833661869698,-9.999999999998899e-05
0.22,0.0,0.0008092923608846528,-0.286577311899781,-0.0001100000000000545
0.224,0.0009186437595696262,0.0007399539850424181,-0.2876211184340898,-0.0001100000000000545
0.228,0.0009186437595696262,0.0007753571387781098,-0.288601111468485,-0.0001100000000000545
0.233,0.000459321879784369,0.0007582441097531232,-0.2895127328958287,-0.0001100000000000545
0.237,0.000459321879784369,0.0006990197378459982,-0.29038788946607763,-0.0001100000000000545
0.241,0.0013779656393548834,0.0007425330447809097,-0.29119011632214153,-0.00011999999999989797
0.246,0.0018372875191401405,0.0009139308736578545,-0.2919148553568798,-0.00011999999999989797
0.25,0.0013779656393548834,0.0010513702754129921,-0.2926031295345233,-0.0001100000000000545
0.254,0.0,0.0009795717696437743,-0.29329596181930473,-0.00011999999999989797
0.258,-0.0004593218797852572,0.000739990900334288,-0.2939979103183603,-0.00011999999999989797
0.262,0.0,0.0005478773154328581,-0.2946588358531832,-0.00011999999999989797
0.267,0.0013779656393548834,0.0005758340346852105,-0.29524683167382015,-0.00011999999999989797
0.271,0.000459321879784369,0.0006437536759981233,-0.29578013020881677,-0.0001100000000000545
0.275,0.0013779656393548834,0.0006982166463323171,-0.29629519631526513,-0.00011999999999989797
0.279,-0.0004593218797852572,0.0006508852969637736,-0.29680114620744114,-0.00011999999999989797
0.284,0.0,0.0004764258804845977,-0.2973253285281645,-0.00011999999999989797
0.288,0.0009186437595696262,0.00047303712716688807,-0.29778113924183636,-0.00011999999999989797
0.292,0.0009186437595696262,0.0005613235450905728,-0.29822783374123496,-0.00011999999999989797
0.296,0.0013779656393548834,0.0006776199817678174,-0.29860159852644497,-0.00011999999999989797
0.301,0.0009186437595696262,0.0007708750293253352,-0.29896168899024644,-0.00011999999999989797
0.305,0.000459321879784369,0.0007546500243097618,-0.29934912809686676,-0.00011999999999989797
0.31,0.000459321879784369,0.0006961377354517493,-0.299745683417763,-0.00011999999999989797
0.314,0.0018372875191401405,0.0007857239279656781,-0.30005107659592234,-0.00011999999999989797
0.319,0.0013779656393548834,0.0009485645045800549,-0.30033367923839815,-0.0001100000000000545
0.324,0.000459321879784369,0.0009426364164267546,-0.30064363052369547,-0.0001100000000000545
0.328,0.0009186437595696262,0.0008923809538234622,-0.30093079127330924,-9.999999999998899e-05
0.332,0.0009186437595696262,0.0008975843078028499,-0.30118148716582827,-9.999999999998899e-05
0.337,0.0,0.0008107529703256307,-0.3014549735940326,-8.999999999992347e-05
0.341,-0.0004593218797852572,0.0006046195544115547,-0.3017421343436446,-8.999999999992347e-05
0.345,0.0009186437595696262,0.0005303303707720619,-0.30198827212902746,-8.000000000008001e-05
0.35,0.0009186437595696262,0.0006072654871635955,-0.30218427073590703,-8.000000000008001e-05
0.354,0.000459321879784369,0.000623455844409819,-0.30238938555705897,-8.000000000008001e-05
0.358,0.0009186437595696262,0.0006364384651857244,-0.3025762679496644,-8.000000000008001e-05
0.363,0.0009186437595696262,0.0006923507715755799,-0.3027449179137225,-8.000000000008001e-05
0.367,0.0009186437595696262,0.0007371853764904931,-0.3029090097706453,-8.000000000008001e-05
0.372,0.0009186437595696262,0.0007731370645475085,-0.3030685435204292,-8.000000000008001e-05
0.376,0.0009186437595696262,0.0008019657756870822,-0.3032235191630779,-8.000000000008001e-05
0.382,0.000459321879784369,0.0007795808744149118,-0.3034012853414101,-8.000000000008001e-05
0.386,0.000459321879784369,0.000716129127093932,-0.303565377198332,-8.999999999992347e-05
0.391,0.0009186437595696262,0.0007107507281487156,-0.3036975623052971,-8.999999999992347e-05
0.396,0.0013779656393548834,0.0007974417016812668,-0.30380695687657866,-8.999999999992347e-05
0.401,0.0009186437595696262,0.000866956908600478,-0.30391179334072316,-8.999999999992347e-05
0.406,0.0009186437595696262,0.0008771974359939238,-0.3040257460191418,-8.999999999992347e-05
0.411,0.0013779656393548834,0.0009309109299687601,-0.304112350054738,-8.999999999992347e-05
0.416,0.0009186437595696262,0.0009739823651581747,-0.30419439598319986,-8.999999999992347e-05
0.421,0.0009186437595696262,0.0009630183289319613,-0.30429011623307023,-8.999999999992347e-05
0.425,0.000459321879784369,0.0009087246722923369,-0.3043858364829406,-8.999999999992347e-05
0.43,0.0009186437595696262,0.0008651880199523224,-0.3044769986256757,-8.000000000008001e-05
0.435,0.0013779656393548834,0.000921280895755367,-0.3045362540184531,-8.000000000008001e-05
0.439,0.0,0.000875256524625837,-0.30461374183977696,-8.999999999992347e-05
0.443,0.000459321879784369,0.0007473470244998,-0.3047094620896491,-8.000000000008001e-05
0.448,0.0009186437595696262,0.0007357835373250569,-0.30477783369669886,-8.999999999992347e-05
0.453,0.0009186437595696262,0.0007720129666664742,-0.304832530982341,-8.999999999992347e-05
0.458,0.0009186437595696262,0.000801064391222087,-0.3048872282679813,-8.000000000008001e-05
0.462,0.0013779656393548834,0.0008698618478666128,-0.3049236931250743,-8.000000000008001e-05
0.467,0.0009186437595696262,0.000925028715180243,-0.30496015798216813,-8.000000000008001e-05
0.472,0.0009186437595696262,0.0009237636871971008,-0.30500573905353523,-8.999999999992347e-05
0.476,0.0013779656393548834,0.000968251179546478,-0.30503308769635584,-8.000000000008001e-05
0.481,0.0,0.000912920757287466,-0.30508322687486,-8.000000000008001e-05
0.486,0.0,0.0007320470950744597,-0.3051743890175951,-7.00000000000145e-05
0.491,0.0009186437595696262,0.0006780130422024029,-0.30524276062464484,-7.00000000000145e-05
0.496,0.000459321879784369,0.0006801864442306216,-0.3052883416960128,-7.00000000000145e-05
0.501,0.0013779656393548834,0.0007274311229856542,-0.3053202484459696,-7.00000000000145e-05
0.507,0.000459321879784369,0.0007653153857371223,-0.3053521551959264,-7.00000000000145e-05
0.512,0.000459321879784369,0.0007046900076927889,-0.30540229437443056,-5.999999999994898e-05
0.517,0.0009186437595696262,0.0007015779997810335,-0.30543420112438735,-5.999999999994898e-05
0.521,0.0,0.0006535806777052114,-0.30547522408861827,-5.999999999994898e-05
0.526,0.000459321879784369,0.0005695910051618414,-0.3055344794813939,-5.0000000000105516e-05
0.531,0.000459321879784369,0.0005477437852614965,-0.30557094433848864,-5.0000000000105516e-05
0.535,0.0013779656393548834,0.0006212288453089337,-0.30558006055276277,-5.0000000000105516e-05
0.539,0.000459321879784369,0.000680154578248709,-0.305589176767036,-5.999999999994898e-05
0.544,0.0009186437595696262,0.0006819036855455784,-0.3056074091955816,-7.00000000000145e-05
0.548,0.0009186437595696262,0.0007288081335379074,-0.30561652540985573,-5.999999999994898e-05
0.553,0.0013779656393548834,0.0008119214591566215,-0.30561196730271956,-5.999999999994898e-05
0.557,0.0009186437595696262,0.0008785678445032952,-0.3056074091955816,-5.999999999994898e-05
0.561,0.000459321879784369,0.0008410060545370292,-0.305625641624129,-5.0000000000105516e-05
0.566,0.0013779656393548834,0.000856388130059973,-0.3056347578384022,-5.0000000000105516e-05
0.57,-0.0009186437595705144,0.0007322169561774406,-0.30567578080263313,-5.0000000000105516e-05
0.574,0.000459321879784369,0.0005416435944971213,-0.3057395943025467,-5.999999999994898e-05
0.578,0.000459321879784369,0.0005253334932086024,-0.30576238483823026,-5.999999999994898e-05
0.583,0.000459321879784369,0.0005122548528410566,-0.3057851753739147,-5.999999999994898e-05
0.587,0.000459321879784369,0.0005017674358202924,-0.30580796590959824,-5.0000000000105516e-05
0.591,0.000459321879784369,0.0004933578525091448,-0.30582619833814384,-5.999999999994898e-05
0.596,0.0009186437595696262,0.0005321163142370632,-0.30583531455241797,-5.0000000000105516e-05
0.6,0.000459321879784369,0.0005631957032102982,-0.3058444307666912,-5.999999999994898e-05
0.604,-0.0009186437595705144,0.0004061099063289591,-0.3058991280523333,-5.999999999994898e-05
0.609,0.0,0.0002346450608859377,-0.3059629415522469,-7.00000000000145e-05
0.613,0.000459321879784369,0.00023365757515965026,-0.30598573208793045,-7.00000000000145e-05
0.617,0.0,0.00023286573638110818,-0.30601308073075106,-7.00000000000145e-05
0.622,0.0,0.00018672889678472603,-0.30604954558784403,-7.00000000000145e-05
0.626,0.000459321879784369,0.00019523486600620083,-0.3060677780163914,-5.999999999994898e-05
0.631,0.0009186437595696262,0.0002930593484464588,-0.30606321990925345,-7.00000000000145e-05
0.635,0.0,0.0003260003377841603,-0.3060723361235276,-7.00000000000145e-05
0.64,0.0009186437595696262,0.00035241484896823437,-0.30607689423066464,-5.999999999994898e-05
0.644,0.000459321879784369,0.0004190978342763718,-0.3060723361235276,-7.00000000000145e-05
0.648,0.0,0.000381565392854693,-0.30609056855207406,-7.00000000000145e-05
0.652,0.0,0.0003059672323041153,-0.30612247530203174,-7.00000000000145e-05
0.657,0.0009186437595696262,0.00033635082965996347,-0.3061270334091688,-5.999999999994898e-05
0.661,0.000459321879784369,0.00040621652056325086,-0.30611791719489556,-5.999999999994898e-05
0.665,0.0009186437595696262,0.0004622399767754715,-0.30610880098062143,-5.999999999994898e-05
0.67,0.000459321879784369,0.0005071637098035652,-0.30610424287348437,-7.00000000000145e-05
0.674,0.000459321879784369,0.0004976849823965387,-0.30610880098062143,-7.00000000000145e-05
0.678,0.0013779656393548834,0.0005810880106004747,-0.30609056855207406,-5.999999999994898e-05
0.682,0.0013779656393548834,0.0007389704707131003,-0.30604954558784403,-5.999999999994898e-05
0.687,0.0013779656393548834,0.0008655722544561586,-0.3060085226236131,-5.0000000000105516e-05
0.691,0.0,0.0008305852333794828,-0.3060039645164778,-5.0000000000105516e-05
0.696,0.000459321879784369,0.0007115262933694402,-0.30603131315929666,-5.0000000000105516e-05
0.7,0.0013779656393548834,0.0007525617220425882,-0.30601308073075106,-5.0000000000105516e-05
0.705,0.0013779656393548834,0.000876470720697348,-0.3059766158736563,-5.0000000000105516e-05
0.709,0.0009186437595696262,0.0009303281961251513,-0.3059538253379728,-5.0000000000105516e-05
