time_s,magnetic_raw,magnetic_raw_mm,posic_encoder_mm,magnetic_raw_filtered,posic_encoder_filtered,keyence_mm,posic_lut_calibrated
0.0,-17219.0,-0.0,0,0.0,0.0,-0.0,-0.0
0.006,-17219.0,-0.0,0,0.0,0.0,1.0000000000065512e-05,-0.0
0.011,-17219.0,-0.0,1,0.0,0.0591173974417489,1.0000000000065512e-05,1.5000235087097081e-06
0.016,-17218.0,-0.0004619020697753,1,-2.730644823807821e-05,0.1703624589646754,1.999999999990898e-05,4.322715554256409e-06
0.022,-17219.0,-0.0,2,-5.13843241697304e-05,0.3275718808983854,1.999999999990898e-05,8.311690693488322e-06
0.027,-17219.0,-0.0,2,-4.530890914129516e-05,0.5253110765177589,2.999999999997449e-05,1.3329053684047486e-05
0.032,-17219.0,-0.0,2,-3.995181956257908e-05,0.6996706189026478,2.999999999997449e-05,1.775318979056183e-05
0.036,-17218.0,-0.0004619020697753,2,-6.253457260945324e-05,0.8534147965576789,2.999999999997449e-05,2.165423907198578e-05
0.041,-17219.0,-0.0,3,-8.244725848192554e-05,1.0480984603448844,2.999999999997449e-05,2.659407210049986e-05
0.045,-17219.0,-0.0,4,-7.269912378660834e-05,1.3379985359605395,4.000000000004e-05,3.3949892001548264e-05
0.05,-17218.0,-0.0004619020697753,4,-9.14100060355669e-05,1.652739733040816,4.000000000004e-05,4.193602155410597e-05
0.054,-17219.0,-0.0,4,-0.0001079086109597,1.93026756924292,4.000000000004e-05,4.8977912717103985e-05
0.059,-17218.0,-0.0004619020697753,4,-0.0001224565067148,2.174981958657206,4.000000000004e-05,5.518720732285298e-05
0.063,-17219.0,-0.0,4,-0.0001352843349993,2.390762592434054,4.000000000004e-05,6.066234725452005e-05
0.068,-17219.0,-0.0,5,-0.0001192890193997,2.640147844678214,5.000000000010552e-05,6.699015864811772e-05
0.072,-17218.0,-0.0004619020697753,5,-0.0001324913548972,2.919164480218065,5.000000000010552e-05,7.406982606824163e-05
0.076,-17220.0,0.0004619020697753,5,-0.0001168262667271,3.1651916410857788,5.000000000010552e-05,8.03124304631038e-05
0.081,-17218.0,-0.0004619020697753,5,-0.0001030133370436,3.3821298310525285,5.999999999994898e-05,8.58169418078006e-05
0.085,-17219.0,-0.0,6,-0.000118140024506,3.632535776067912,5.000000000010552e-05,9.217065189143303e-05
0.089,-17219.0,-0.0,6,-0.000104171762941,3.912452422978541,5.999999999994898e-05,9.927315587528765e-05
0.094,-17218.0,-0.0004619020697753,6,-0.0001191614841551,4.159273182557216,5.999999999994898e-05,0.00010553589675745201
0.098,-17218.0,-0.0004619020697753,6,-0.0001596853469942,4.3769111402541165,7.00000000000145e-05,0.00011105816375600515
0.102,-17219.0,-0.0,6,-0.0001681114309845,4.568816718663861,7.00000000000145e-05,0.00011592750664869244
0.107,-17220.0,0.0004619020697753,6,-0.0001209283621864,4.73803238037333,8.000000000008001e-05,0.00012022112378324544
0.112,-17220.0,0.0004619020697753,7,-5.20175256115674e-05,4.946358260471254,8.999999999992347e-05,0.00012550710948529604
0.117,-17219.0,-0.0,7,-1.856079590245841e-05,5.189170170308625,8.999999999992347e-05,0.00013166813126081725
0.123,-17219.0,-0.0,7,-1.636626400605677e-05,5.403273263791103,8.999999999992347e-05,0.00013710070589043698
0.129,-17219.0,-0.0,7,-1.4431202138291472e-05,5.592061921931759,8.999999999992347e-05,0.0001418909611730343
0.135,-17220.0,0.0004619020697753,8,1.4581516324529931e-05,5.817646589242571,9.9999999999989e-05,0.0001476148651135638
0.14,-17218.0,-0.0004619020697753,9,1.2857473732808758e-05,6.134794094568527,0.00011,0.00015566205146317147
0.145,-17218.0,-0.0004619020697753,9,-4.327562351286628e-05,6.473561127096204,0.00011,0.00016425780389405366
0.15,-17219.0,-0.0,9,-6.546538728144527e-05,6.77227410901968,0.00011,0.00017183723929940116
0.155,-17219.0,-0.0,9,-5.772510064425483e-05,7.035668822796396,0.00011,0.0001785205217142647
0.159,-17218.0,-0.0004619020697753,10,-7.82064334480303e-05,7.327038514058072,0.00011,0.00018591363111236802
0.165,-17219.0,-0.0,10,-9.626616006881072e-05,7.643075567079905,0.0001199999999998,0.0001939326412459451
0.171,-17219.0,-0.0,10,-8.488415037885291e-05,7.921746043962116,0.00011,0.00020100352536120994
0.175,-17218.0,-0.0004619020697753,11,-0.000102154338508,8.226585371611822,0.0001199999999998,0.0002087384084521712
0.18,-17219.0,-0.0,24,-0.0001173825894861,9.323025648068926,0.0001299999999999,0.00023655908834936074
0.184,-17232.0,0.00600472690708,109,0.0002514799439996,16.083333482628515,0.0002299999999999,0.0004080926997189381
0.188,-17241.0,0.0101618455350585,244,0.0011774719527362,35.05016514420441,0.00086,0.0008893502416487438
0.193,-17249.0,0.0138570620932617,407,0.0024581891063035,69.39144179232522,0.0018599999999999,0.0018267365784614019
0.197,-17257.0,0.0175522786514648,583,0.0040243841017241,119.7131823726709,0.00316,0.0031522432590699954
0.202,-17266.0,0.0217093972794433,771,0.005869609973161,185.6038749461154,0.00479,0.004781435807710783
0.206,-17273.0,0.024942711767871,963,0.0079335691139841,266.1686060262717,0.0067099999999999,0.006708950871438763
0.21,-17281.0,0.0286379283260742,1155,0.0101630931927152,359.9088632699531,0.0089300000000001,0.0089324127907257
0.215,-17288.0,0.0318712428145019,1347,0.0125386066728809,465.2668410437331,0.0114499999999999,0.011445481414785401
0.219,-17296.0,0.035566459372705,1539,0.0150428485275474,580.8689205437217,0.0141199999999999,0.014138515417744909
0.223,-17306.0,0.0401854800704589,1734,0.0177425179284741,705.6812446958801,0.01722,0.017225463042218385
0.228,-17312.0,0.0429568924891113,1926,0.0205598956433382,838.6148421129323,0.0205900000000001,0.020598262594013417
0.232,-17319.0,0.046190206977539,2114,0.0233991451090711,978.2956739341184,0.02424,0.02423645291698649
0.237,-17325.0,0.0489616193961914,2295,0.026257680323695,1123.2756909117754,0.0279499999999999,0.027933770469674886
0.241,-17333.0,0.0526568359543945,2472,0.0291605274888836,1272.2780536040193,0.0314,0.03139240802220267
0.245,-17340.0,0.0558901504428222,2645,0.0321297538384893,1424.3542416108012,0.0347999999999999,0.034789001576331025
0.25,-17348.0,0.0595853670010253,2819,0.0351575110432577,1578.963469634224,0.0380199999999999,0.03802314466227638
0.254,-17356.0,0.0632805835592285,2989,0.0382641851677727,1735.628892015163,0.04136,0.04135713901347948
0.258,-17362.0,0.0660519959778808,3158,0.0413858325897388,1893.811808048308,0.0446899999999998,0.044688395722020824
