4439, -16389.00, -16475.61, 1021
4443, -16385.00, -16470.90, 733
4447, -16378.00, -16466.07, 421
4452, -16370.00, -16460.62, 93
4457, -16364.00, -16454.79, -183
4462, -16358.00, -16449.67, -457
4466, -16350.00, -16444.42, -756
4471, -16343.00, -16438.34, -1042
4477, -16336.00, -16432.10, -1328
4481, -16331.00, -16426.26, -1618
4487, -16323.00, -16419.72, -1901
4492, -16315.00, -16412.94, -2159
4497, -16308.00, -16406.90, -2374
4502, -16301.00, -16401.32, -2617
4507, -16293.00, -16394.82, -2821
4511, -16285.00, -16389.11, -3021
4516, -16280.00, -16383.23, -3232
4521, -16272.00, -16376.80, -3433
4526, -16265.00, -16370.48, -3638
4531, -16256.00, -16363.55, -3852
4536, -16247.00, -16356.48, -4026
4540, -16243.00, -16350.42, -4196
4545, -16235.00, -16344.31, -4362
4549, -16230.00, -16338.13, -4546
4555, -16222.00, -16331.06, -4720
4560, -16212.00, -16323.94, -4898
4565, -16204.00, -16316.88, -5051
4569, -16197.00, -16310.50, -5195
4574, -16189.00, -16304.21, -5337
4578, -16181.00, -16297.81, -5479
4582, -16172.00, -16291.17, -5634
4587, -16164.00, -16283.59, -5790
4592, -16156.00, -16276.10, -5941
4597, -16145.00, -16268.42, -6091
4602, -16137.00, -16260.78, -6226
4607, -16130.00, -16253.63, -6354
4611, -16122.00, -16246.86, -6483
4616, -16115.00, -16239.79, -6636
4621, -16106.00, -16231.04, -6789
4627, -16095.00, -16222.63, -6925
4632, -16086.00, -16214.10, -7060
4637, -16076.00, -16206.67, -7184
4641, -16070.00, -16199.45, -7303
4645, -16063.00, -16192.29, -7420
4650, -16055.00, -16185.08, -7556
4655, -16045.00, -16176.22, -7693
4660, -16035.00, -16167.77, -7830
4666, -16025.00, -16158.86, -7949
4670, -16018.00, -16151.37, -8059
4674, -16010.00, -16143.99, -8174
4679, -16001.00, -16136.43, -8289
4684, -15991.00, -16128.42, -8425
4689, -15983.00, -16119.40, -8562
4694, -15974.00, -16110.07, -8684
4699, -15966.00, -16102.27, -8818
4704, -15956.00, -16093.02, -8949
4709, -15947.00, -16084.40, -9068
4714, -15939.00, -16076.32, -9182
4718, -15930.00, -16068.52, -9297
4723, -15920.00, -16060.73, -9418
4728, -15912.00, -16051.93, -9547
4733, -15902.00, -16043.46, -9665
4737, -15894.00, -16035.09, -9794
4742, -15884.00, -16026.22, -9926
4747, -15875.00, -16017.20, -10049
4752, -15867.00, -16008.65, -10195
4758, -15858.00, -15998.88, -10318
4762, -15849.00, -15990.81, -10444
4767, -15842.00, -15982.32, -10566
4772, -15835.00, -15974.29, -10715
4777, -15823.00, -15964.52, -10852
4782, -15816.00, -15955.62, -10993
4787, -15807.00, -15946.51, -11142
4793, -15800.00, -15936.72, -11282
4798, -15791.00, -15928.58, -11413
4802, -15782.00, -15920.63, -11544
4807, -15776.00, -15912.90, -11674
4811, -15770.00, -15905.13, -11815
4816, -15762.00, -15897.07, -11973
4821, -15754.00, -15887.96, -12119
4826, -15746.00, -15879.86, -12290
4832, -15738.00, -15870.67, -12445
4837, -15732.00, -15862.68, -12611
4842, -15721.00, -15854.09, -12764
4846, -15715.00, -15846.36, -12917
4851, -15709.00, -15838.84, -13070
4855, -15704.00, -15831.66, -13224
4860, -15697.00, -15824.51, -13409
4865, -15689.00, -15816.01, -13601
4871, -15681.00, -15807.50, -13783
4875, -15675.00, -15799.93, -13965
4880, -15668.00, -15792.45, -14155
4885, -15661.00, -15785.00, -14331
4889, -15655.00, -15778.12, -14510
4894, -15648.00, -15771.31, -14703
4898, -15642.00, -15764.28, -14896
4903, -15637.00, -15757.46, -15095
4907, -15631.00, -15750.68, -15296
4912, -15625.00, -15744.03, -15508
4916, -15621.00, -15737.36, -15714
4921, -15614.00, -15730.83, -15918
4925, -15610.00, -15724.44, -16128
4930, -15604.00, -15717.99, -16351
4934, -15598.00, -15710.89, -16585
4940, -15594.00, -15703.75, -16815
4945, -15587.00, -15696.59, -17027
4949, -15580.00, -15690.12, -17223
4954, -15576.00, -15684.11, -17414
4958, -15568.00, -15678.02, -17606
4963, -15564.00, -15671.86, -17792
4967, -15559.00, -15665.89, -17994
4972, -15556.00, -15659.40, -18175
4977, -15551.00, -15653.71, -18354
4981, -15548.00, -15648.08, -18542
4986, -15542.00, -15642.07, -18734
4991, -15536.00, -15635.75, -18934
4996, -15532.00, -15629.51, -19130
5001, -15527.00, -15623.00, -19325
5006, -15521.00, -15617.01, -19512
5011, -15517.00, -15610.81, -19686
5016, -15511.00, -15605.37, -19879
5021, -15506.00, -15599.22, -20047
5026, -15502.00, -15593.81, -20207
5030, -15498.00, -15588.71, -20379
5035, -15492.00, -15583.02, -20563
5040, -15488.00, -15577.20, -20746
5046, -15484.00, -15571.43, -20917
