7594, 1907.09, -188
7603, 1907.09, -187
7612, 1907.09, -188
7620, 1907.09, -192
7629, 1906.14, -203
7638, 1906.14, -213
7646, 1905.19, -215
7655, 1905.19, -210
7664, 1905.19, -202
7672, 1905.19, -186
7681, 1906.14, -145
7689, 1907.09, -105
7698, 1908.03, -79
7707, 1908.98, -63
7715, 1909.92, -51
7724, 1909.92, -42
7733, 1909.92, -34
7742, 1909.92, -29
7750, 1909.92, -24
7759, 1910.87, -21
7768, 1910.87, -17
7777, 1910.87, -15
7786, 1910.87, -14
7795, 1910.87, -13
7803, 1911.82, -11
7812, 1911.82, -7
7820, 1911.82, -4
7829, 1911.82, 1
7837, 1911.82, 8
7846, 1912.76, 18
7854, 1912.76, 34
7863, 1913.71, 59
7871, 1913.71, 94
7880, 1914.65, 118
7888, 1915.60, 131
7897, 1916.55, 132
7905, 1916.55, 125
7913, 1917.49, 120
7922, 1916.55, 111
7930, 1916.55, 91
7938, 1915.60, 60
7946, 1914.65, 38
7955, 1913.71, 25
7963, 1913.71, 16
7972, 1913.71, 11
7980, 1912.76, 6
7989, 1912.76, 2
7997, 1912.76, -2
8005, 1912.76, -6
8014, 1912.76, -10
8022, 1911.82, -14
8031, 1911.82, -18
8039, 1911.82, -21
8048, 1911.82, -25
10067, 1911.82, -55
10075, 1911.82, -54
10084, 1911.82, -53
10092, 1910.87, -52
10101, 1910.87, -51
10109, 1910.87, -51
10117, 1910.87, -51
10126, 1910.87, -51
10135, 1910.87, -52
10144, 1910.87, -52
10152, 1910.87, -53
10161, 1910.87, -53
10169, 1910.87, -54
10177, 1910.87, -55
10186, 1910.87, -56
10195, 1910.87, -58
10203, 1910.87, -59
10212, 1909.92, -62
10220, 1909.92, -68
10229, 1909.92, -77
10237, 1908.98, -91
10246, 1908.98, -114
10254, 1908.03, -140
10263, 1907.09, -157
10271, 1907.09, -166
10280, 1906.14, -166
10288, 1906.14, -157
10296, 1906.14, -147
10305, 1907.09, -137
10314, 1907.09, -121
10322, 1908.03, -97
10331, 1908.98, -64
10340, 1909.92, -33
10349, 1910.87, -9
10358, 1911.82, 9
10366, 1911.82, 24
10374, 1912.76, 35
10384, 1912.76, 41
10392, 1912.76, 44
10400, 1913.71, 44
10409, 1913.71, 43
10417, 1913.71, 39
10425, 1913.71, 30
10434, 1913.71, 18
10442, 1912.76, 11
10450, 1912.76, 6
10459, 1912.76, 3
10467, 1911.82, 0
10475, 1911.82, -1
10484, 1912.76, -3
10492, 1911.82, -4
10501, 1912.76, -6
10509, 1912.76, -8
10517, 1912.76, -11
10526, 1912.76, -14
10534, 1912.76, -15
10543, 1912.76, -19
10551, 1912.76, -22
10559, 1911.82, -25
10568, 1911.82, -29
10576, 1911.82, -33
10585, 1911.82, -36
10593, 1910.87, -39
10601, 1910.87, -42
10609, 1910.87, -45
10618, 1910.87, -49
10626, 1910.87, -55
10635, 1909.92, -61
10643, 1909.92, -72
10652, 1908.98, -88
10661, 1908.03, -108
10669, 1908.03, -125
10678, 1907.09, -135
10686, 1907.09, -139
10694, 1907.09, -137
10703, 1907.09, -127
10712, 1907.09, -112
10721, 1908.03, -103
10729, 1908.03, -97
10738, 1908.03, -89
10746, 1908.98, -79
10755, 1908.98, -66
10764, 1909.92, -51
10772, 1910.87, -37
10781, 1910.87, -26
10789, 1910.87, -16
10798, 1910.87, -10
10806, 1911.82, -2
10815, 1911.82, 8
10823, 1912.76, 23
10831, 1913.71, 44
10840, 1913.71, 61
10848, 1914.65, 73
10856, 1914.65, 78
10864, 1915.60, 78
10873, 1915.60, 73
10881, 1914.65, 62
10889, 1914.65, 54
10897, 1913.71, 49
10906, 1913.71, 44
10914, 1913.71, 39
10922, 1913.71, 29
10930, 1912.76, 14
10939, 1912.76, -5
10947, 1912.76, -22
10955, 1911.82, -36
10964, 1911.82, -48
10972, 1910.87, -59
10980, 1909.92, -72
10989, 1909.92, -86
10997, 1908.98, -97
11005, 1908.98, -103
11014, 1908.98, -106
