time_s,magnetic_raw,magnetic_raw_mm,posic_encoder_mm,magnetic_raw_filtered,posic_encoder_filtered,keyence_mm,posic_lut_calibrated
0.0,-17194.0,-0.0,0,0.0,0.0,-0.0,9.999999999843467e-06
0.004,-17195.0,0.0004619020697753,0,2.730644823807821e-05,0.0,9.999999999843467e-06,9.999999999843467e-06
0.009,-17196.0,0.0009238041395507,1,0.0001059972206458,0.0591173974417489,1.999999999990898e-05,1.1481331250967554e-05
0.013,-17194.0,-0.0,1,0.0001480775574807,0.1703624589646754,2.999999999997449e-05,1.4268848856584558e-05
0.018,-17195.0,0.0004619020697753,1,0.0001578760860832,0.2684544834566365,2.999999999997449e-05,1.6726784889867295e-05
0.022,-17194.0,-0.0,1,0.0001665160876662,0.3549486175530836,2.999999999997449e-05,1.889410736041809e-05
0.027,-17196.0,0.0009238041395507,2,0.0002014409886723,0.4903335328877604,2.999999999997449e-05,2.2286508154341003e-05
0.031,-17195.0,0.0004619020697753,2,0.0002595429994098,0.6688286379692708,2.999999999997449e-05,2.6759140387355907e-05
0.036,-17194.0,-0.0,2,0.0002561624343492,0.8262194109137605,3.999999999981796e-05,3.070295186571098e-05
0.04,-17195.0,0.0004619020697753,2,0.0002531815697051,0.9650011181026033,3.999999999981796e-05,3.418046760286355e-05
0.044,-17195.0,0.0004619020697753,2,0.0002778595952189,1.0873739986083917,4.999999999988347e-05,3.7246819980129764e-05
0.049,-17194.0,-0.0,2,0.0002723133712099,1.195278146688275,4.999999999988347e-05,3.9950622813029355e-05
0.053,-17195.0,0.0004619020697753,3,0.0002674229038589,1.3495416673946037,4.999999999988347e-05,4.381607332369975e-05
0.058,-17193.0,-0.0004619020697753,3,0.000235804211674,1.5446832698139623,4.999999999988347e-05,4.8705824337232794e-05
0.062,-17193.0,-0.0004619020697753,3,0.0001533110525979,1.7167523448980313,4.999999999988347e-05,5.301743664264939e-05
0.067,-17193.0,-0.0004619020697753,4,8.057145526448896e-05,1.927594265625491,5.999999999994898e-05,5.830059760264197e-05
0.071,-17193.0,-0.0004619020697753,4,1.6432209301670746e-05,2.1726247325446453,5.999999999994898e-05,6.444043636131741e-05
0.075,-17193.0,-0.0004619020697753,4,-4.012354607075143e-05,2.388684072467406,5.999999999994898e-05,6.985433254374311e-05
0.08,-17193.0,-0.0004619020697753,4,-8.999244330723398e-05,2.579197680651735,6.999999999979245e-05,7.462811782151916e-05
0.084,-17194.0,-0.0,4,-0.0001066586534698,2.747185951449875,6.999999999979245e-05,7.88374755761595e-05
0.089,-17195.0,0.0004619020697753,5,-6.67414412161845e-05,2.954429560949112,7.999999999985796e-05,8.403047203121274e-05
0.093,-17193.0,-0.0004619020697753,5,-5.885028060375988e-05,3.1962871622300404,7.999999999985796e-05,9.009080686669615e-05
0.097,-17195.0,0.0004619020697753,5,-5.189212974773803e-05,3.409548779632503,7.999999999985796e-05,9.543459925598085e-05
0.102,-17194.0,-0.0,5,-1.8450226192868145e-05,3.597595453444862,8.999999999992347e-05,0.00010014656944821846
0.106,-17195.0,0.0004619020697753,6,1.1037680754677977e-05,3.822525864792243,8.999999999992347e-05,0.0001057827520624038
0.11,-17196.0,0.0009238041395507,6,9.165198754889374e-05,4.0799790725326535,9.9999999999989e-05,0.00011223387303239911
0.115,-17195.0,0.0004619020697753,6,0.0001627348783146,4.306992353063778,9.9999999999989e-05,0.00011792224703773837
0.119,-17195.0,0.0004619020697753,6,0.0001981068498328,4.507164764935475,9.9999999999989e-05,0.0001229380573093357
0.124,-17194.0,-0.0,6,0.0002019901753159,4.683669832748188,9.9999999999989e-05,0.0001273608242822962
0.128,-17194.0,-0.0,5,0.0001781079083689,4.780188462630417,0.0001099999999998,0.00012977933505826716
0.132,-17195.0,0.0004619020697753,5,0.0001843558045939,4.806177834664336,0.0001199999999998,0.00013043056245759353
0.137,-17196.0,0.0009238041395507,6,0.0002444778785664,4.888211756068422,0.0001199999999998,0.00013248612337006212
0.141,-17194.0,-0.0,6,0.0002701849832167,5.019663811043556,0.0001199999999998,0.00013577997671079855
0.146,-17195.0,0.0004619020697753,6,0.0002655461653835,5.1355736592616905,0.0001199999999998,0.00013868438197741666
0.15,-17195.0,0.0004619020697753,6,0.0002887622654634,5.2377789303507765,0.0001299999999999,0.00014124538548307764
0.154,-17195.0,0.0004619020697753,6,0.0003092334147124,5.327899982176632,0.0001399999999998,0.00014350358926455085
0.159,-17195.0,0.0004619020697753,6,0.0003272841618289,5.407365589925172,0.0001399999999998,0.0001454947947851165
0.163,-17194.0,-0.0,6,0.0003158942343245,5.477435597841271,0.0001499999999998,0.0001472505705293871
0.168,-17195.0,0.0004619020697753,6,0.0003058509925624,5.539220892743926,0.0001499999999998,0.0001487987524886725
0.172,-17195.0,0.0004619020697753,6,0.000324301659668,5.593701015976949,0.0001599999999999,0.00015016388547155947
0.177,-17194.0,-0.0,7,0.0003132643676948,5.700857090456036,0.0001599999999999,0.00015284894348735012
0.181,-17195.0,0.0004619020697753,7,0.0003035320676742,5.8544609858903165,0.0001599999999999,0.00015669786547051762
0.185,-17194.0,-0.0,7,0.0002949504641503,5.9899035562546175,0.0001599999999999,0.00016009171095248266
0.19,-17195.0,0.0004619020697753,7,0.0002873835047587,6.109332102093402,0.00017,0.00016308428581002132
0.194,-17196.0,0.0009238041395507,7,0.0003353241197349,6.214640038311703,0.00017,0.00016572303419310535
0.199,-17195.0,0.0004619020697753,7,0.0003775964859328,6.307496912291629,0.00017,0.0001680497907023663
0.203,-17195.0,0.0004619020697753,7,0.0003875643393459,6.389374872823016,0.00017,0.00017010144363301092
0.208,-17194.0,-0.0,8,0.0003690471974173,6.520689406927245,0.00017,0.0001733918510513528
0.212,-17195.0,0.0004619020697753,8,0.0003527194259664,6.695595391468187,0.0001599999999999,0.00017777454907462792
0.216,-17193.0,-0.0004619020697753,8,0.0003110157169858,6.849821402803034,0.00017,0.0001816390596960848
0.221,-17194.0,-0.0,8,0.0002469363892444,6.985812533322006,0.00017,0.00018504665069688864
0.225,-17195.0,0.0004619020697753,8,0.0002450463641509,7.105724780418092,0.00017,0.0001880513458746656
0.23,-17195.0,0.0004619020697753,8,0.0002706862540247,7.211459227574753,0.0001799999999998,0.00019070078153441065
0.234,-17196.0,0.0009238041395507,8,0.0003206010650165,7.304692184059727,0.0001799999999998,0.00019303696171236873
0.239,-17195.0,0.0004619020697753,8,0.0003646142085691,7.386901761058317,0.0001799999999998,0.00019509692410617504
0.243,-17194.0,-0.0,8,0.0003488105706454,7.459391305583019,0.0001799999999998,0.00019691332726888187
0.247,-17195.0,0.0004619020697753,9,0.00033487547261,7.582427461121394,0.0001899999999999,0.00019999629962734447
0.252,-17196.0,0.0009238041395507,9,0.0003772008845087,7.750033859488186,0.0001999999999999,0.00020419608863249687
0.256,-17194.0,-0.0,9,0.0003872155117751,7.897823349722916,0.0001999999999999,0.00020789931644607106
0.261,-17194.0,-0.0,10,0.0003414331651646,8.087256377335557,0.0001999999999999,0.00021264602512982458
0.265,-17195.0,0.0004619020697753,10,0.000328370333153,8.313409227226005,0.0002099999999998,0.00021831283893710684
0.269,-17194.0,-0.0,11,0.0003168519824049,8.571940338739086,0.0002099999999998,0.0002247909694273662
0.274,-17194.0,-0.0,11,0.0002793890532569,8.859021474753165,0.0002099999999998,0.0002319844907390053
0.278,-17195.0,0.0004619020697753,11,0.0002736619940904,9.112159631535697,0.0002099999999998,0.0002383274875338726
0.283,-17196.0,0.0009238041395507,11,0.000323224969066,9.33536805027386,0.0001999999999999,0.0002439205214037522
0.287,-17195.0,0.0004619020697753,12,0.0003669278758614,9.591302864847991,0.0002199999999998,0.00025033359531237404
0.291,-17195.0,0.0004619020697753,12,0.0003781571301981,9.87609467655916,0.0002099999999998,0.0002574697519939616
0.296,-17195.0,0.0004619020697753,12,0.0003880586959515,10.127214186828157,0.0002199999999998,0.000263762166654045
0.3,-17196.0,0.0009238041395507,12,0.0004240960003472,10.348642633309252,0.0002199999999998,0.00026931059895747155
0.305,-17196.0,0.0009238041395507,11,0.0004831788896875,10.484773135397536,0.0002099999999998,0.00027272168225445337
0.309,-17196.0,0.0009238041395507,11,0.0005352761257256,10.545690878052271,0.0002199999999998,0.0002742481255663619
0.314,-17195.0,0.0004619020697753,11,0.0005539072075086,10.599406023899462,0.0002199999999998,0.00027559409016638574
0.318,-17196.0,0.0009238041395507,11,0.0005703354471586,10.646770170495271,0.0002299999999999,0.0002767809149180052
0.322,-17195.0,0.0004619020697753,11,0.0005848212972632,10.688534226933491,0.0002299999999999,0.0002778274156885543
0.327,-17194.0,-0.0,11,0.0005429815193759,10.72536031872524,0.0002299999999999,0.00027875018365515215
0.331,-17195.0,0.0004619020697753,11,0.000506088659045,10.757832285107629,0.0002399999999997,0.00027956384834049424
0.336,-17194.0,-0.0,11,0.000473557818488,10.786464935205332,0.0002399999999997,0.00028028130954866096
