index,magnetic_mm,keyence_calibrated_mm
0,2930.0630053378272,0.0774999999999999
1,2930.8172545797706,0.07654173575850158
2,2931.571503821714,0.0788622677740641
3,2932.3257530636574,0.0772873967485774
4,2933.080002305601,0.0757125257230907
5,2933.834251547544,0.07769641122111964
6,2934.5885007894876,0.08017594145553017
7,2935.342750031431,0.0819659511890764
8,2936.0969992733744,0.08232289046158144
9,2936.851248515318,0.08267982973408645
10,2937.605497757261,0.08303676900659149
11,2938.3597469992046,0.08339370827909652
12,2939.113996241148,0.08375064755160154
13,2939.8682454830914,0.08410758682410657
14,2940.622494725035,0.0844645260966116
15,2941.376743966978,0.08482146536911664
16,2942.1309932089216,0.08513012559476421
17,2942.885242450865,0.08540816229571867
18,2943.6394916928084,0.08568619899667314
19,2944.393740934752,0.0859642356976276
20,2945.147990176695,0.08624227239858206
21,2945.9022394186386,0.08652030909953652
22,2946.656488660582,0.08679834580049098
23,2947.4107379025254,0.08707638250144545
24,2948.164987144469,0.0873544192023999
25,2948.919236386412,0.08763245590335436
26,2949.6734856283556,0.08790970193521065
27,2950.427734870299,0.08817701110616016
28,2951.1819841122424,0.08844432027710968
29,2951.936233354186,0.08871162944805917
30,2952.690482596129,0.08897893861900869
31,2953.444731838073,0.08924624778995836
32,2954.1989810800164,0.08951355696090788
33,2954.95323032196,0.08978086613185737
34,2955.7074795639032,0.09004817530280688
35,2956.4617288058466,0.0903154844737564
36,2957.21597804779,0.09058279364470591
37,2957.9702272897334,0.09085123204254629
38,2958.724476531677,0.0911235634857591
39,2959.47872577362,0.0913958949289719
40,2960.2329750155636,0.09166822637218472
41,2960.987224257507,0.09194055781539753
42,2961.7414734994504,0.09221288925861033
43,2962.495722741394,0.09248522070182315
44,2963.249971983337,0.09275755214503596
45,2964.0042212252806,0.09302988358824876
46,2964.758470467224,0.09330221503146158
47,2965.5127197091674,0.09357454647467439
48,2966.266968951111,0.0938468779178872
49,2967.021218193054,0.09414493783076779
50,2967.7754674349976,0.09444329612255546
51,2968.529716676941,0.09474165441434312
52,2969.2839659188844,0.09504001270613079
53,2970.038215160828,0.09533837099791845
54,2970.792464402771,0.09563672928970611
55,2971.5467136447146,0.09593508758149379
56,2972.300962886658,0.09623344587328145
57,2973.0552121286014,0.09653180416506911
58,2973.809461370545,0.09683016245685677
59,2974.563710612488,0.09712852074864445
60,2975.3179598544316,0.09743182180881065
61,2976.072209096375,0.09773668011015105
62,2976.8264583383184,0.09804153841149145
63,2977.580707580262,0.09834639671283185
64,2978.334956822205,0.09865125501417225
65,2979.0892060641486,0.09895611331551266
66,2979.843455306092,0.09926097161685307
67,2980.5977045480354,0.09956582991819346
68,2981.351953789979,0.09987068821953388
69,2982.106203031922,0.10017554652087426
70,2982.8604522738656,0.10048040482221468
71,2983.614701515809,0.10078186659464951
72,2984.3689507577524,0.10108282137552041
73,2985.1231999996958,0.1013837761563913
74,2985.877449241639,0.1016847309372622
75,2986.6316984835826,0.10198568571813309
76,2987.385947725526,0.10228664049900398
77,2988.1401969674694,0.10258759527987488
78,2988.8944462094128,0.10288855006074576
79,2989.648695451356,0.10318950484161667
80,2990.4029446932996,0.10349045962248755
81,2991.157193935243,0.10378976853791941
82,2991.9114431771864,0.10408378730799622
83,2992.6656924191298,0.10437780607807304
84,2993.419941661073,0.10467182484814985
85,2994.1741909030166,0.10496584361822667
86,2994.92844014496,0.10525986238830348
87,2995.6826893869033,0.1055538811583803
88,2996.4369386288467,0.10584789992845711
89,2997.19118787079,0.10614191869853393
90,2997.945437112734,0.10643593746861091
91,2998.6996863546774,0.10672995623868772
92,2999.453935596621,0.1070065201527831
93,3000.208184838564,0.1072776254053392
94,3000.9624340805076,0.10754873065789528
95,3001.716683322451,0.10781983591045137
96,3002.4709325643944,0.10809094116300745
97,3003.225181806338,0.10836204641556355
98,3003.979431048281,0.10863315166811963
99,3004.7336802902246,0.10890425692067572
100,3005.487929532168,0.10917536217323182
101,3006.2421787741114,0.1094464674257879
102,3006.996428016055,0.10971757267834399
103,3007.750677257998,0.10998367529541589
104,3008.5049264999416,0.11024973271709194
105,3009.259175741885,0.11051579013876799
106,3010.0134249838284,0.11078184756044403
107,3010.7676742257718,0.11104790498212007
108,3011.521923467715,0.11131396240379612
109,3012.2761727096586,0.11158001982547217
110,3013.030421951602,0.1118460772471482
111,3013.7846711935454,0.11211213466882425
112,3014.5389204354888,0.11237819209050029
113,3015.293169677432,0.11264420996947137
114,3016.0474189193756,0.112907791664595
115,3016.801668161319,0.11317137335971862
116,3017.5559174032624,0.11343495505484225
117,3018.3101666452058,0.11369853674996588
118,3019.064415887149,0.11396211844508951
119,3019.8186651290926,0.11422570014021313
120,3020.572914371036,0.11448928183533676
121,3021.3271636129793,0.11475286353046038
122,3022.0814128549227,0.115016445225584
123,3022.835662096866,0.11528002692070764
124,3023.5899113388095,0.11554360861583127
125,3024.344160580753,0.11580012679391648
126,3025.0984098226963,0.1160547224810268
127,3025.8526590646397,0.11630931816813712
128,3026.606908306583,0.11656391385524745
129,3027.3611575485265,0.11681850954235777
130,3028.11540679047,0.1170731052294681
131,3028.8696560324133,0.11732770091657842
132,3029.6239052743567,0.11758229660368874
133,3030.3781545163,0.11783689229079906
134,3031.1324037582435,0.11809148797790939
135,3031.886653000187,0.1183460836650197
136,3032.6409022421303,0.11860909092313292
137,3033.3951514840737,0.11889897950022937
138,3034.149400726017,0.11918886807732582
139,3034.9036499679605,0.11947875665442227
140,3035.657899209904,0.11976864523151873
141,3036.4121484518473,0.12005853380861517
142,3037.1663976937907,0.12034842238571163
143,3037.920646935734,0.12063831096280807
144,3038.6748961776775,0.12092819953990452
145,3039.429145419621,0.12121808811700098
146,3040.1833946615643,0.12150797669409742
147,3040.9376439035077,0.12179786527119388
148,3041.691893145451,0.12210330603165001
149,3042.4461423873945,0.12241298966528984
150,3043.200391629338,0.12272267329892966
151,3043.9546408712818,0.12303235693256968
152,3044.708890113225,0.12334204056620951
153,3045.4631393551686,0.12365172419984934
154,3046.217388597112,0.12396140783348916
155,3046.9716378390553,0.12427109146712899
156,3047.7258870809987,0.12458077510076883
157,3048.480136322942,0.12489045873440865
158,3049.2343855648855,0.12520014236804847
159,3049.988634806829,0.12551127001356194
160,3050.7428840487723,0.12582415181377055
161,3051.4971332907157,0.12613703361397915
162,3052.251382532659,0.12644991541418774
163,3053.0056317746025,0.12676279721439634
164,3053.759881016546,0.12707567901460495
165,3054.5141302584893,0.12738856081481356
166,3055.2683795004327,0.12770144261502217
167,3056.022628742376,0.12801432441523078
168,3056.7768779843195,0.12832720621543936
169,3057.531127226263,0.12864008801564797
