time_s,magnetic_raw,magnetic_raw_mm,posic_encoder_mm,magnetic_raw_filtered,posic_encoder_filtered,keyence_mm,posic_lut_calibrated
0.0,-17227.0,-0.0,0,0.0,0.0,-0.0,-0.0
0.005,-17228.0,0.0004619020697753,1,2.730644823807821e-05,0.0591173974417489,-0.0,1.4943735957454568e-06
0.012,-17227.0,-0.0,1,5.13843241697304e-05,0.1703624589646754,9.999999999843467e-06,4.306433831664094e-06
0.016,-17227.0,-0.0,2,4.530890914129516e-05,0.3275718808983854,9.999999999843467e-06,8.280384298134306e-06
0.021,-17227.0,-0.0,2,3.995181956257908e-05,0.5253110765177589,9.999999999843467e-06,1.3278849142069688e-05
0.026,-17226.0,-0.0004619020697753,2,7.92167613329681e-06,0.6996706189026478,1.999999999990898e-05,1.7686321520449997e-05
0.031,-17226.0,-0.0004619020697753,2,-4.762783809561347e-05,0.8534147965576789,1.999999999990898e-05,2.1572677306217824e-05
0.036,-17226.0,-0.0004619020697753,2,-9.66094669037906e-05,0.9889810629031354,2.999999999997449e-05,2.49995306128111e-05
0.04,-17227.0,-0.0,3,-0.0001124933146386,1.167636076995864,2.999999999997449e-05,2.9515584217348938e-05
0.046,-17227.0,-0.0,3,-9.919269065662412e-05,1.384285249584179,4.000000000004e-05,3.499205674601682e-05
0.051,-17226.0,-0.0004619020697753,4,-0.0001147711114609,1.6344363491315843,4.999999999988347e-05,4.1315393264317995e-05
0.056,-17226.0,-0.0004619020697753,4,-0.0001558140691149,1.9141282821758696,4.999999999988347e-05,4.838546498214397e-05
0.062,-17226.0,-0.0004619020697753,4,-0.0001920043210893,2.160750896886095,4.999999999988347e-05,5.461960822060117e-05
0.067,-17227.0,-0.0,5,-0.0001966091778067,2.4373315347741737,4.999999999988347e-05,6.16110324077305e-05
0.072,-17228.0,0.0004619020697753,5,-0.0001460566837584,2.7403281151145573,5.999999999994898e-05,6.92702005858965e-05
0.077,-17227.0,-0.0,5,-0.0001014812534748,3.0074999569279943,5.999999999994898e-05,7.602378858553886e-05
0.081,-17226.0,-0.0004619020697753,5,-0.0001167890865237,3.2430827908259734,5.999999999994898e-05,8.197886749331584e-05
0.086,-17227.0,-0.0,5,-0.000130287001072,3.4508115366799514,5.999999999994898e-05,8.722984886791676e-05
0.092,-17226.0,-0.0004619020697753,6,-0.0001421889924624,3.693096914318227,7.00000000000145e-05,9.335435513250012e-05
0.096,-17226.0,-0.0004619020697753,6,-0.00017999020258,3.96585312746992,7.00000000000145e-05,0.00010024910525087324
0.102,-17228.0,0.0004619020697753,7,-0.0001587090978969,4.265477463148171,7.00000000000145e-05,0.00010782302959897299
0.107,-17228.0,0.0004619020697753,7,-8.533126378484294e-05,4.588793174397148,7.00000000000145e-05,0.00011599582615105748
0.112,-17227.0,-0.0,7,-4.793569107601416e-05,4.87388171884399,7.00000000000145e-05,0.0001232023137791817
0.116,-17227.0,-0.0,7,-4.22680244740429e-05,5.125262877714524,7.00000000000145e-05,0.0001295567438207642
0.121,-17229.0,0.0009238041395507,8,1.7342423205932664e-05,5.406039434270175,7.999999999985796e-05,0.00013665423272552412
0.126,-17227.0,-0.0,8,6.990484183155283e-05,5.712735829695123,8.999999999992347e-05,0.0001444069250811873
0.13,-17228.0,0.0004619020697753,8,8.894610543431403e-05,5.983170039715493,8.999999999992347e-05,0.00015124297944638378
0.135,-17227.0,-0.0,8,0.0001057360291406,6.221629516384625,8.999999999992347e-05,0.0001572707743258988
0.14,-17227.0,-0.0,8,9.323435142343629e-05,6.431894785741755,9.9999999999989e-05,0.0001625858741142346
0.146,-17228.0,0.0004619020697753,8,0.0001095172552448,6.617299384105321,9.9999999999989e-05,0.00016727254416931117
0.151,-17228.0,0.0004619020697753,8,0.0001511814015109,6.780782707810913,9.9999999999989e-05,0.0001714050867517391
0.156,-17228.0,0.0004619020697753,8,0.0001879193959892,6.924936614271303,0.0001099999999998,0.0001750490190095864
0.16,-17228.0,0.0004619020697753,8,0.0002203136812259,7.052046513169693,0.0001099999999998,0.00017826211168435772
0.165,-17228.0,0.0004619020697753,9,0.0002488778347923,7.223244996685919,0.0001199999999998,0.00018258967860153126
0.171,-17227.0,-0.0,9,0.0002467582632827,7.433319260060987,0.0001199999999998,0.00018789995012765364
