keyence_time_s,keyence_displacement_mm,time_ms,arduino_displacement_mm,arduino_time_s
0.0,0.0,24014.0,-0.0,0.0
0.00020000000000020002,0.0,24016.0,-0.0008797146773869002,0.0019999999999997797
0.000400000000000178,0.0,24020.0,-0.0034504871024960693,0.005999999999999783
0.000600000000000156,0.0,24022.0,-0.005378566421327946,0.008000000000000007
0.0008000000000001339,0.0,24024.0,-0.006704975598115226,0.009999999999999787
0.001000000000000112,0.0,24027.0,-0.008546450881349088,0.0129999999999999
0.0012000000000000899,-1.0000000000065512e-05,24029.0,-0.010510995057275707,0.01499999999999968
0.0014000000000000679,-2.0000000000131024e-05,24032.0,-0.012689770268625722,0.017999999999999794
0.0016000000000000458,-2.9999999999752447e-05,24034.0,-0.014230410480838174,0.020000000000000018
0.0018000000000000238,-3.999999999981796e-05,24037.0,-0.01669178833466667,0.022999999999999687
0.0020000000000000018,-4.999999999988347e-05,24040.0,-0.01894349326020439,0.0259999999999998
0.002200000000000202,-7.00000000000145e-05,24041.0,-0.020493249686689197,0.02699999999999969
0.0024000000000001798,-9.000000000014552e-05,24045.0,-0.023000208611884787,0.030999999999999694
0.0026000000000001577,-0.00010999999999983245,24048.0,-0.025488935108532118,0.03399999999999981
0.0028000000000001357,-0.00012999999999996348,24050.0,-0.027303061748947144,0.03600000000000003
0.0030000000000001137,-0.0001500000000000945,24053.0,-0.02975532338850151,0.0389999999999997
0.0032000000000000917,-0.00017999999999984695,24055.0,-0.031378009529172246,0.040999999999999925
0.0034000000000000696,-0.00019999999999997797,24057.0,-0.03300981188411889,0.042999999999999705
0.0036000000000000476,-0.000220000000000109,24059.0,-0.03473277638179795,0.04499999999999993
0.0038000000000000256,-0.00024999999999986144,24062.0,-0.036401043593837557,0.04800000000000004
0.0040000000000000036,-0.00026999999999999247,24064.0,-0.0388578633405281,0.04999999999999982
0.004200000000000204,-0.0002900000000001235,24068.0,-0.04145598440845788,0.053999999999999826
0.0044000000000001815,-0.00031999999999987594,24071.0,-0.0440768960120721,0.05699999999999994
0.0046000000000001595,-0.00034000000000000696,24073.0,-0.04580441861688911,0.05899999999999972
0.0048000000000001375,-0.0003699999999997594,24075.0,-0.047345058829099784,0.06099999999999994
0.0050000000000001155,-0.00039999999999995595,24078.0,-0.04979732046865237,0.06400000000000006
0.0052000000000000934,-0.0004300000000001525,24080.0,-0.051625121430477705,0.06599999999999984
0.005400000000000071,-0.0004499999999998394,24083.0,-0.053457480499439214,0.06899999999999995
0.005600000000000049,-0.0004900000000001015,24086.0,-0.05554965167519299,0.07200000000000006
0.005800000000000027,-0.0005199999999998539,24088.0,-0.057418475601247465,0.07399999999999984
0.006000000000000005,-0.0005500000000000504,24090.0,-0.05905027795619233,0.07600000000000007
0.006200000000000205,-0.0005799999999998029,24092.0,-0.06098747348929656,0.07799999999999985
0.006400000000000183,-0.0006200000000000649,24094.0,-0.06262383395137938,0.08000000000000007
0.006600000000000161,-0.0006499999999998174,24096.0,-0.06420549712782098,0.08199999999999985
0.006800000000000139,-0.0006900000000000794,24099.0,-0.06571878869721282,0.08499999999999996
0.007000000000000117,-0.0007299999999998974,24101.0,-0.06790212201570078,0.08699999999999974
0.007200000000000095,-0.0007700000000001594,24104.0,-0.06963876083479192,0.08999999999999986
0.007400000000000073,-0.0008099999999999774,24106.0,-0.07148023611802401,0.09200000000000008
