time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,-0.017070111227011964,-0.0001953124999999334,9.999999999621423e-06
0.011,-0.0013779656393557715,-0.00013650565484704137,-0.03298702134843268,-0.0011718749999999334,-9.000000000014552e-05
0.016,0.0,-0.0002459659418372597,-0.04799686814964765,-0.000488281249999889,-0.0003700000000002035
0.021,0.0013779656393548834,-6.0727951434737856e-05,-0.06149798148860963,0.001308593750000031,-0.00013000000000040757
0.027,0.0018372875191401405,0.0002698170508837266,-0.07467546922086399,0.004316406250000071,0.0003799999999998249
0.032,0.003215253158495912,0.0007168799164646658,-0.08723305438252371,0.007949218750000098,0.0013699999999996493
0.038,0.004593218797851684,0.0013483791556441083,-0.09881064650978821,0.012441406250000009,0.0027399999999997426
0.044,0.005971184437206567,0.0021277730619575757,-0.1099096373876991,0.01750000000000007,0.004589999999999872
0.049,0.006430506316991824,0.0029347560341566534,-0.12015170412390486,0.022832031250000107,0.006829999999999892
0.055,0.007808471956347596,0.003763861951174588,-0.1294502426828119,0.028281250000000036,0.009569999999999634
0.06,0.010105081355272993,0.004792715214384454,-0.1376274868860845,0.03453125000000001,0.012579999999999814
0.066,0.01056440323505825,0.0058907368402295775,-0.14575003380371765,0.040800781250000084,0.016549999999999843
0.072,0.011942368874414022,0.006953218983229065,-0.1530019822582389,0.04791015625000006,0.020279999999999854
0.078,0.012861012633984537,0.008032704836533252,-0.15988928214181897,0.05466796875000002,0.02438999999999969
0.083,0.01423897827333942,0.009125825516994781,-0.16571910116968258,0.061640625000000115,0.028039999999999843
0.089,0.015616943912695191,0.01027538149095442,-0.1711432486623794,0.06845703125000002,0.031729999999999814
0.094,0.016994909552050963,0.011470191439407747,-0.17598395844157366,0.07500000000000007,0.035279999999999756
0.099,0.017454231431835332,0.012610285587432631,-0.18031416022145663,0.08169921875000008,0.038839999999999764
0.104,0.018832197071191104,0.013706504577138923,-0.18440278232309382,0.08796875000000004,0.04239999999999977
0.109,0.019750840830761618,0.014813043118676502,-0.18798089642541704,0.09433593750000002,0.045809999999999906
0.114,0.02158812834990176,0.01597335852180283,-0.19149519702782758,0.10003906250000005,0.04950999999999972
0.119,0.022047450229687016,0.017131294287989093,-0.19441238559532792,0.10533203125000001,0.05278999999999989
