time_s,magnetic_raw_mm,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
0.0,0.0,0.0,0.0,0.0
0.005,-0.0009186437595705144,-0.021464126506808512,0.0,0.0
0.01,-0.00045932187978614536,-0.04083152373072618,0.0,0.0
0.016,-0.00045932187978614536,-0.06133388963168773,0.0,-1.0000000000065512e-05
0.022,-0.00045932187978614536,-0.08073775171270015,0.0,-1.0000000000065512e-05
0.028,-0.0009186437595705144,-0.09721075090480102,0.0,-1.0000000000065512e-05
0.033,0.0,-0.11256701384840628,0.0,-2.0000000000131024e-05
0.039,0.0,-0.12678830811496855,0.0,-2.0000000000131024e-05
0.044,-0.0009186437595705144,-0.13974244859752272,-1.953125000000132e-05,-1.0000000000065512e-05
0.049,-0.00045932187978614536,-0.150020980190825,-1.953125000000132e-05,-1.0000000000065512e-05
0.053,-0.0009186437595705144,-0.1597935618919495,-1.953125000000132e-05,-2.0000000000131024e-05
0.058,-0.0009186437595705144,-0.16880949780837806,-1.953125000000132e-05,-2.0000000000131024e-05
0.062,-0.00045932187978614536,-0.17734227436831596,-1.953125000000132e-05,-2.9999999999752447e-05
0.066,-0.0009186437595705144,-0.18544203075026555,-1.953125000000132e-05,-2.0000000000131024e-05
0.071,-0.00045932187978614536,-0.19300848859721853,-1.953125000000132e-05,-2.0000000000131024e-05
0.075,0.000459321879784369,-0.20022853030178034,-1.953125000000132e-05,-2.9999999999752447e-05
0.08,-0.0009186437595705144,-0.20711127207822688,-1.953125000000132e-05,-2.0000000000131024e-05
0.085,-0.0009186437595705144,-0.2146275907466757,-1.953125000000132e-05,-1.0000000000065512e-05
0.09,-0.00045932187978614536,-0.22156958791589787,-3.90625000000009e-05,-2.0000000000131024e-05
0.095,0.0,-0.2286164215492663,-3.90625000000009e-05,-1.0000000000065512e-05
0.1,-0.00045932187978614536,-0.23482912157661318,-3.90625000000009e-05,-1.0000000000065512e-05
0.105,0.0,-0.24044015146191455,-3.90625000000009e-05,-1.0000000000065512e-05
0.111,-0.00045932187978614536,-0.2458187178832425,-3.90625000000009e-05,-2.0000000000131024e-05
0.116,-0.0009186437595705144,-0.25086910059072665,-3.90625000000009e-05,-2.9999999999752447e-05
0.121,-0.0009186437595705144,-0.2561154819050895,-5.8593750000000486e-05,-2.9999999999752447e-05
